restaurant_id,restaurant_name,market,city,city_size,cuisine_type,is_chain,acquisition_channel,signup_date
R-0038,Indian Bristol 0038,United Kingdom,Bristol,Small,Indian,0,Direct sales,15/08/2026
R-0039,Burger Frankfurt 0039,DE,Frankfurt,Metro,Burger,1,Inbound,2026-05-24
R-0040,Burger Oslo 0040,no,Oslo,Metro,Burger,1,Paid search,2026-03-02
R-0041,Pizza Manchester 0041,UK,Manchester,Metro,Pizza,0,Inbound,2026-03-21
R-0042,Thai Aalborg 0042,DK,  Aalborg ,Small,Thai,0,Partner,2025-08-11
R-0043,Pizza Copenhagen 0043,DK,  Copenhagen ,Metro,Pizza,0,Paid search,2026-03-03
R-0044,Kebab Bristol 0044,United Kingdom,Bristol,Mid,Kebab,0,Paid search,2025-07-24
R-0045,Nordic Hamburg 0045,DE,Hamburg,Mid,Nordic,0,Paid search,2026-01-26
R-0046,Kebab Esbjerg 0046,DK,Esbjerg,Metro,Kebab,1,Partner,14/04/2025
R-0047,Burger Copenhagen 0047,DK,Copenhagen,Metro,Burger,0,Direct sales,2026-05-16
R-0048,Pizza Bristol 0048,UK,  Bristol ,Metro,Pizza,1,Direct sales,2026-07-23
R-0049,Pizza Trondheim 0049,no,Trondheim,Mid,Pizza,0,Partner,2025-07-20
R-0050,Pizza Aalborg 0050,DK,  Aalborg ,Metro,unknown,0,Referral,2025-01-10
R-0051,Vegetarian Aalborg 0051,Denmark,Aalborg,Metro,Vegetarian,1,Paid search,2026-08-16
R-0052,Pizza Frankfurt 0052,DE,Frankfurt,Mid,Pizza,0,Inbound,2026-07-26
R-0053,Indian Bristol 0053,United Kingdom,  Bristol ,Mid,Indian,0,Partner,2025-03-01
R-0054,Chinese Bristol 0054,UK,  Bristol ,Metro,Chinese,0,Partner,2026-05-23
R-0055,Burger Aarhus 0055,DK,Aarhus,Mid,Burger,0,Partner,2025-10-31
R-0056,Thai Aarhus 0056,Denmark,Aarhus,Metro,Thai,0,Paid search,06/07/2025
R-0057,Thai London 0057,uk,London,Mid,Thai,1,Paid search,2025-07-30
R-0058,Chinese Birmingham 0058,uk,Birmingham,Mid,Chinese,0,Referral,04/05/2025
R-0059,Pizza Aalborg 0059,DK,Aalborg,Small,Pizza,1,Inbound,2025-07-30
R-0060,Pizza Aarhus 0060,DK,Aarhus,Small,Pizza,0,Inbound,08/05/2026
R-0061,Pizza Aarhus 0061,DK,Aarhus,Metro,Pizza,1,Partner,2025-04-17
R-0062,Nordic Bristol 0062,UK,Bristol,Metro,Nordic,1,Referral,2025-09-05
R-0063,Burger Esbjerg 0063,DK,Esbjerg,Metro,Burger,1,Direct sales,2026-03-02
R-0064,Chinese Copenhagen 0064,DK,Copenhagen,Metro,Chinese,0,Direct sales,2026-07-22
R-0065,Thai Bergen 0065,NO,Bergen,Metro,Thai,0,Partner,2025-11-13
R-0066,Pizza Esbjerg 0066,dk,Esbjerg,Metro,Pizza,1,Direct sales,21/08/2025
R-0067,Thai Malmo 0067,SE,Malmo,Metro,Thai,0,Paid search,13/07/2026
R-0068,Chinese Stavanger 0068,NO,Stavanger,Small,Chinese,0,Inbound,2026-05-29
R-0069,Pizza Hamburg 0069,DE,Hamburg,Metro,Pizza,0,Referral,27/05/2026
R-0070,Pizza Gothenburg 0070,SE,  Gothenburg ,Metro,Pizza,0,Direct sales,31/08/2025
R-0071,Kebab Stockholm 0071,SE,  Stockholm ,Metro,Kebab,0,Inbound,2026-08-31
R-0072,Indian Aarhus 0072,dk,Aarhus,Mid,Indian,0,Direct sales,2025-05-24
R-0073,Pizza Leeds 0073,UK,Leeds,Metro,Pizza,0,Direct sales,2026-06-25
R-0074,Pizza Odense 0074,DK,ODENSE,Mid,Pizza,1,Referral,07/03/2025
R-0075,Pizza Uppsala 0075,SE,Uppsala,Metro,Pizza,0,Inbound,2025-08-28
R-0076,Chinese Aarhus 0076,DK,Aarhus,Mid,Chinese,0,Partner,2025-08-24
R-0077,Burger Oslo 0077,Norway,  Oslo ,Small,N/A,1,Partner,15/06/2025
R-0078,Pizza Aarhus 0078,DK,Aarhus,Metro,unknown,0,Paid search,2026-02-11
R-0079,Vegetarian Cologne 0079,DE,Cologne,Metro,Vegetarian,0,Referral,2025-09-16
R-0080,Pizza Aarhus 0080,DK,Aarhus,Small,Pizza,0,Partner,2025-10-06
R-0081,Sushi Manchester 0081,UK,MANCHESTER,Metro,Sushi,0,Inbound,2025-03-18
R-0082,Nordic Frankfurt 0082,Germany,  Frankfurt ,Metro,Nordic,0,Partner,2026-02-02
R-0083,Chinese Frankfurt 0083,DE,Frankfurt,Metro,Chinese,0,Inbound,2025-08-11
R-0084,Indian Copenhagen 0084,DK,Copenhagen,Mid,Indian,0,Inbound,2026-08-04
R-0085,Burger Esbjerg 0085,DK,Esbjerg,Mid,Burger,1,Direct sales,2026-03-17
R-0086,Indian Stockholm 0086,SE,Stockholm,Small,Indian,1,Inbound,2026-03-13
R-0087,Pizza Odense 0087,DK,  Odense ,Small,Pizza,0,Direct sales,2025-04-28
R-0088,Sushi Aalborg 0088,DK,Aalborg,Small,Sushi,1,Paid search,2026-07-06
R-0089,Burger Gothenburg 0089,SE,Gothenburg,Mid,Burger,0,Direct sales,2025-10-22
R-0090,Kebab Uppsala 0090,SE,Uppsala,Small,Kebab,0,Direct sales,2025-07-07
R-0091,Nordic Leeds 0091,uk,Leeds,Metro,Nordic,1,Inbound,2025-07-27
R-0092,Pizza Aalborg 0092,DK,Aalborg,Small,Pizza,0,Inbound,2025-04-22
R-0093,Pizza Aalborg 0093,DK,  Aalborg ,Small,Pizza,0,Referral,2026-07-20
R-0094,Vegetarian Cologne 0094,DE,Cologne,Metro,Vegetarian,0,Inbound,21/06/2026
R-0095,Vegetarian Odense 0095,dk,  Odense ,Metro,Vegetarian,0,Referral,2025-08-04
R-0096,Thai Aalborg 0096,DK,Aalborg,Metro,Thai,0,Inbound,18/05/2026
R-0097,Sushi Berlin 0097,DE,Berlin,Metro,Sushi,0,Referral,10/08/2025
R-0098,Kebab Odense 0098,DK,Odense,Metro,N/A,0,Direct sales,15/01/2026
R-0099,Nordic Esbjerg 0099,DK,ESBJERG,Metro,Nordic,0,Direct sales,2025-08-19
R-0100,Pizza Esbjerg 0100,DK,Esbjerg,Mid,Pizza,0,Direct sales,2025-07-29
R-0101,Kebab Aalborg 0101,DK,Aalborg,Small,Kebab,1,Direct sales,2025-06-01
R-0102,Thai Trondheim 0102,Norway,Trondheim,Small,Thai,0,Referral,20/10/2025
R-0103,Indian Hamburg 0103,DE,Hamburg,Metro,Indian,0,Inbound,29/07/2025
R-0104,Chinese Aarhus 0104,DK,  Aarhus ,Small,N/A,0,Partner,2025-02-26
R-0105,Chinese Bristol 0105,UK,Bristol,Mid,Chinese,0,Inbound,2025-04-23
R-0106,Indian Leeds 0106,UK,Leeds,Small,,0,Partner,2026-07-06
R-0107,Chinese Aalborg 0107,DK,Aalborg,Metro,Chinese,0,Referral,2025-09-30
R-0108,Burger Stavanger 0108,NO,  Stavanger ,Small,Burger,1,Referral,01/05/2026
R-0109,Thai Gothenburg 0109,SE,  Gothenburg ,Mid,Thai,0,Direct sales,2025-12-23
R-0110,Pizza Uppsala 0110,SE,Uppsala,Metro,Pizza,1,Direct sales,2025-04-10
R-0111,Burger Bristol 0111,UK,Bristol,Metro,Burger,0,Direct sales,2025-05-23
R-0112,Thai Aalborg 0112,DK,Aalborg,Small,Thai,0,Partner,07/02/2026
R-0113,Pizza London 0113,UK,  London ,Metro,Pizza,0,Inbound,2026-05-13
R-0114,Burger Odense 0114,DK,Odense,Small,Burger,0,Direct sales,16/12/2025
R-0115,Nordic Bristol 0115,uk,Bristol,Metro,Nordic,0,Referral,2025-09-05
R-0116,Sushi Aarhus 0116,dk,Aarhus,Mid,Sushi,0,Referral,2026-08-08
R-0117,Indian Uppsala 0117,SE,Uppsala,Metro,Indian,0,Partner,2026-01-29
R-0118,Indian London 0118,UK,London,Mid,Indian,1,Direct sales,2025-09-07
R-0119,Pizza Leeds 0119,UK,LEEDS,Small,Pizza,0,Inbound,2025-01-14
R-0120,Burger Esbjerg 0120,dk,Esbjerg,Metro,Burger,1,Inbound,15/09/2025
R-0121,Pizza Leeds 0121,UK,  Leeds ,Metro,Pizza,0,Paid search,08/11/2025
R-0122,Vegetarian Stockholm 0122,SE,  Stockholm ,Mid,Vegetarian,1,Inbound,28/06/2026
R-0123,Vegetarian Birmingham 0123,UK,  Birmingham ,Mid,Vegetarian,0,Paid search,10/05/2025
R-0124,Thai Stockholm 0124,SE,Stockholm,Small,Thai,1,Direct sales,2025-03-08
R-0125,Thai Bristol 0125,United Kingdom,Bristol,Metro,Thai,0,Partner,2025-12-30
R-0126,Burger Aalborg 0126,DK,Aalborg,Mid,Burger,1,Inbound,2025-01-20
R-0127,Indian Leeds 0127,UK,Leeds,Small,Indian,1,Referral,2026-02-03
R-0128,Pizza Copenhagen 0128,DK,Copenhagen,Mid,Pizza,0,Inbound,2025-09-30
R-0129,Kebab Uppsala 0129,SE,  Uppsala ,Small,Kebab,0,Inbound,2025-08-09
R-0130,Sushi Odense 0130,Denmark,  Odense ,Metro,Sushi,0,Referral,2026-04-21
R-0131,Pizza Aalborg 0131,DK,Aalborg,Small,Pizza,0,Paid search,21/02/2026
R-0132,Pizza Malmo 0132,Sweden,  Malmo ,Metro,Pizza,0,Inbound,09/08/2025
R-0133,Kebab Gothenburg 0133,SE,Gothenburg,Mid,,0,Paid search,29/05/2026
R-0134,Thai Berlin 0134,DE,Berlin,Metro,Thai,0,Direct sales,03/05/2026
R-0135,Chinese Oslo 0135,NO,Oslo,Metro,Chinese,0,Inbound,2025-12-09
R-0136,Chinese Munich 0136,Germany,Munich,Metro,Chinese,0,Direct sales,2025-05-30
R-0137,Sushi Odense 0137,DK,Odense,Mid,Sushi,1,Direct sales,16/08/2026
R-0138,Nordic Bergen 0138,NO,Bergen,Metro,Nordic,1,Inbound,15/07/2026
R-0139,Sushi Copenhagen 0139,DK,Copenhagen,Mid,Sushi,1,Direct sales,2026-08-21
R-0140,Sushi Copenhagen 0140,dk,Copenhagen,Mid,Sushi,0,Inbound,2025-09-06
R-0141,Burger Munich 0141,DE,Munich,Metro,Burger,0,Referral,2025-04-30
R-0142,Chinese Leeds 0142,UK,Leeds,Mid,Chinese,0,Direct sales,2025-06-07
R-0143,Sushi Manchester 0143,UK,MANCHESTER,Metro,Sushi,0,Paid search,2025-02-09
R-0144,Vegetarian Leeds 0144,UK,Leeds,Metro,Vegetarian,0,Direct sales,27/06/2025
R-0145,Pizza Aarhus 0145,DK,AARHUS,Metro,Pizza,0,Referral,31/12/2025
R-0146,Thai Aalborg 0146,DK,Aalborg,Metro,Thai,0,Direct sales,2025-03-03
R-0147,Chinese Gothenburg 0147,SE,Gothenburg,Metro,Chinese,0,Direct sales,2026-07-05
R-0148,Chinese Copenhagen 0148,DK,COPENHAGEN,Mid,Chinese,1,Direct sales,05/04/2026
R-0149,Burger Manchester 0149,uk,  Manchester ,Metro,N/A,0,Direct sales,2026-08-24
R-0150,Sushi Leeds 0150,UK,Leeds,Small,Sushi,0,Inbound,2026-08-10
R-0151,Nordic Frankfurt 0151,DE,FRANKFURT,Mid,Nordic,1,Referral,2026-04-03
R-0152,Vegetarian Leeds 0152,United Kingdom,  Leeds ,Metro,Vegetarian,0,Direct sales,2026-01-24
R-0153,Kebab Bristol 0153,UK,Bristol,Metro,Kebab,0,Direct sales,17/01/2026
R-0154,Thai Bristol 0154,UK,Bristol,Mid,Thai,0,Inbound,2025-02-25
R-0155,Pizza Frankfurt 0155,DE,FRANKFURT,Mid,Pizza,0,Paid search,2025-10-25
R-0156,Sushi Gothenburg 0156,SE,Gothenburg,Metro,Sushi,0,Inbound,2026-08-26
R-0157,Pizza Bristol 0157,uk,Bristol,Mid,Pizza,0,Paid search,2026-03-07
R-0158,Indian Uppsala 0158,se,Uppsala,Metro,Indian,1,Direct sales,2025-12-19
R-0159,Thai Manchester 0159,UK,Manchester,Small,Thai,0,Inbound,15/04/2026
R-0160,Thai Aalborg 0160,DK,Aalborg,Small,Thai,1,Inbound,2026-01-04
R-0161,Sushi Aalborg 0161,DK,Aalborg,Metro,Sushi,0,Partner,2025-10-14
R-0162,Burger Esbjerg 0162,DK,Esbjerg,Mid,Burger,1,Partner,2025-05-21
R-0163,Chinese Aarhus 0163,DK,Aarhus,Small,Chinese,0,Partner,27/08/2026
R-0164,Kebab Trondheim 0164,Norway,Trondheim,Metro,Kebab,0,Referral,2025-06-19
R-0165,Vegetarian Berlin 0165,DE,Berlin,Metro,Vegetarian,0,Inbound,2026-05-27
R-0166,Chinese Birmingham 0166,UK,Birmingham,Metro,Chinese,0,Inbound,2025-12-25
R-0167,Pizza Munich 0167,DE,Munich,Mid,,0,Direct sales,2026-04-26
R-0168,Burger Munich 0168,Germany,Munich,Small,Burger,0,Referral,2026-01-01
R-0169,Chinese Esbjerg 0169,DK,Esbjerg,Metro,Chinese,0,Inbound,2026-08-05
R-0170,Pizza Odense 0170,DK,Odense,Metro,Pizza,0,Direct sales,2025-09-27
R-0171,Pizza Odense 0171,DK,Odense,Metro,Pizza,0,Referral,2025-02-22
R-0172,Pizza Leeds 0172,UK,Leeds,Metro,Pizza,1,Referral,2026-08-29
R-0173,Sushi Birmingham 0173,UK,Birmingham,Metro,Sushi,1,Direct sales,16/04/2025
R-0174,Chinese Hamburg 0174,DE,Hamburg,Mid,Chinese,0,Paid search,2025-09-30
R-0175,Pizza Esbjerg 0175,DK,Esbjerg,Small,Pizza,0,Direct sales,2025-02-05
R-0176,Burger Uppsala 0176,Sweden,Uppsala,Metro,Burger,0,Inbound,2026-04-23
R-0177,Burger Hamburg 0177,Germany,  Hamburg ,Metro,Burger,0,Referral,2026-02-13
R-0178,Indian Frankfurt 0178,DE,Frankfurt,Mid,Indian,0,Inbound,14/01/2026
R-0179,Pizza Odense 0179,DK,Odense,Metro,Pizza,0,Direct sales,2025-10-08
R-0180,Pizza Aalborg 0180,DK,  Aalborg ,Small,Pizza,0,Paid search,2026-02-04
R-0181,Vegetarian Aalborg 0181,DK,Aalborg,Metro,Vegetarian,0,Inbound,2026-02-19
R-0182,Pizza Malmo 0182,SE,MALMO,Mid,Pizza,1,Inbound,01/02/2026
R-0183,Sushi Aalborg 0183,DK,  Aalborg ,Metro,Sushi,0,Direct sales,2025-07-03
R-0184,Kebab Odense 0184,DK,Odense,Metro,Kebab,1,Direct sales,2025-01-29
R-0185,Pizza London 0185,UK,  London ,Small,Pizza,0,Referral,20/06/2026
R-0186,Pizza Esbjerg 0186,dk,Esbjerg,Mid,Pizza,0,Partner,17/06/2026
R-0187,Pizza Aarhus 0187,DK,Aarhus,Mid,Pizza,0,Direct sales,2025-04-23
R-0188,Burger Odense 0188,dk,Odense,Mid,Burger,0,Direct sales,2026-02-07
R-0189,Kebab Stockholm 0189,SE,Stockholm,Metro,Kebab,0,Referral,22/03/2026
R-0190,Kebab London 0190,UK,  London ,Mid,Kebab,0,Partner,2025-05-25
R-0191,Pizza Berlin 0191,DE,Berlin,Small,Pizza,0,Direct sales,2026-04-14
R-0192,Pizza Munich 0192,Germany,Munich,Mid,N/A,0,Inbound,2026-07-10
R-0193,Thai Hamburg 0193,DE,Hamburg,Metro,Thai,0,Direct sales,2025-06-20
R-0194,Sushi Aalborg 0194,DK,Aalborg,Metro,Sushi,0,Direct sales,05/06/2025
R-0195,Pizza Munich 0195,DE,Munich,Mid,Pizza,0,Direct sales,27/08/2025
R-0196,Pizza Manchester 0196,United Kingdom,  Manchester ,Metro,Pizza,0,Direct sales,11/03/2025
R-0197,Kebab Odense 0197,DK,Odense,Small,Kebab,0,Direct sales,03/04/2026
R-0198,Pizza Copenhagen 0198,DK,Copenhagen,Mid,Pizza,0,Direct sales,2025-05-02
R-0199,Nordic Malmo 0199,SE,Malmo,Small,Nordic,0,Direct sales,2026-07-24
R-0200,Pizza Hamburg 0200,DE,  Hamburg ,Metro,Pizza,0,Partner,2025-08-11
R-0201,Pizza Copenhagen 0201,DK,COPENHAGEN,Metro,Pizza,1,Direct sales,17/08/2026
R-0202,Burger Cologne 0202,DE,Cologne,Small,Burger,0,Referral,28/08/2025
R-0203,Sushi Bristol 0203,UK,Bristol,Metro,Sushi,0,Partner,2026-08-11
R-0204,Pizza Aalborg 0204,DK,  Aalborg ,Metro,Pizza,1,Inbound,20/06/2025
R-0205,Kebab Gothenburg 0205,se,Gothenburg,Mid,Kebab,1,Paid search,2026-08-24
R-0206,Kebab Malmo 0206,SE,Malmo,Metro,Kebab,1,Direct sales,2026-04-17
R-0207,Sushi Stavanger 0207,NO,  Stavanger ,Small,Sushi,0,Inbound,16/01/2025
R-0208,Thai Aalborg 0208,dk,Aalborg,Mid,unknown,0,Direct sales,2026-05-16
R-0209,Burger Frankfurt 0209,DE,Frankfurt,Mid,Burger,0,Partner,2025-09-10
R-0210,Nordic Leeds 0210,UK,  Leeds ,Mid,Nordic,0,Inbound,2025-08-01
R-0211,Pizza Hamburg 0211,DE,Hamburg,Mid,Pizza,0,Partner,31/03/2025
R-0212,Pizza Esbjerg 0212,dk,Esbjerg,Mid,Pizza,1,Direct sales,2026-01-16
R-0213,Kebab Aarhus 0213,DK,Aarhus,Metro,Kebab,0,Inbound,05/07/2026
R-0214,Pizza Aalborg 0214,DK,Aalborg,Metro,Pizza,0,Direct sales,2025-09-06
R-0215,Pizza Stockholm 0215,SE,Stockholm,Mid,Pizza,0,Referral,2026-05-28
R-0216,Kebab Birmingham 0216,UK,Birmingham,Metro,Kebab,0,Inbound,2026-07-13
R-0217,Kebab Aalborg 0217,DK,Aalborg,Metro,Kebab,0,Referral,2026-02-14
R-0218,Kebab Berlin 0218,Germany,  Berlin ,Small,Kebab,0,Paid search,2025-08-18
R-0219,Pizza Leeds 0219,UK,Leeds,Metro,Pizza,0,Referral,2025-11-27
R-0220,Pizza Aalborg 0220,DK,AALBORG,Metro,Pizza,0,Direct sales,2026-01-19
R-0221,Sushi Copenhagen 0221,dk,Copenhagen,Mid,Sushi,0,Referral,2026-07-17
R-0222,Indian Oslo 0222,NO,Oslo,Metro,Indian,0,Referral,2025-11-10
R-0223,Burger Stavanger 0223,NO,Stavanger,Mid,Burger,0,Referral,2025-08-25
R-0224,Nordic Bristol 0224,UK,Bristol,Metro,Nordic,1,Partner,07/07/2025
R-0225,Kebab Aarhus 0225,DK,Aarhus,Metro,Kebab,0,Paid search,2026-06-29
R-0226,Chinese Manchester 0226,UK,Manchester,Metro,Chinese,0,Referral,2026-01-02
R-0227,Sushi Esbjerg 0227,Denmark,Esbjerg,Metro,Sushi,0,Direct sales,2025-03-07
R-0228,Kebab Esbjerg 0228,DK,  Esbjerg ,Metro,Kebab,0,Paid search,2025-08-12
R-0229,Pizza London 0229,UK,London,Metro,Pizza,0,Partner,2026-02-06
R-0230,Sushi Leeds 0230,UK,Leeds,Mid,Sushi,0,Partner,2025-02-25
R-0231,Indian Bergen 0231,NO,Bergen,Small,Indian,0,Inbound,2026-03-23
R-0232,Kebab Bergen 0232,Norway,Bergen,Metro,Kebab,0,Inbound,2025-07-18
R-0233,Pizza Stavanger 0233,Norway,Stavanger,Metro,Pizza,0,Inbound,10/11/2025
R-0234,Indian Esbjerg 0234,DK,Esbjerg,Mid,Indian,0,Paid search,02/03/2026
R-0235,Chinese Malmo 0235,SE,Malmo,Small,Chinese,0,Direct sales,2026-01-03
R-0236,Indian Birmingham 0236,United Kingdom,Birmingham,Metro,Indian,0,Direct sales,2025-01-21
R-0237,Pizza Esbjerg 0237,DK,Esbjerg,Metro,Pizza,0,Referral,17/11/2025
R-0238,Kebab Esbjerg 0238,DK,Esbjerg,Mid,Kebab,0,Inbound,2025-11-29
R-0239,Kebab London 0239,UK,London,Mid,Kebab,0,Direct sales,2025-07-30
R-0240,Pizza Copenhagen 0240,DK,Copenhagen,Mid,Pizza,0,Direct sales,2026-08-15
R-0241,Vegetarian Aarhus 0241,DK,Aarhus,Metro,,0,Inbound,2026-04-01
R-0242,Kebab Munich 0242,DE,Munich,Small,Kebab,0,Direct sales,2025-09-16
R-0243,Indian Trondheim 0243,Norway,Trondheim,Mid,Indian,0,Direct sales,2026-06-17
R-0244,Kebab Stockholm 0244,SE,Stockholm,Mid,Kebab,0,Partner,2025-04-07
R-0245,Pizza Aarhus 0245,DK,Aarhus,Metro,Pizza,0,Direct sales,2025-05-03
R-0246,Nordic Manchester 0246,UK,Manchester,Metro,Nordic,0,Direct sales,2025-09-30
R-0247,Pizza Leeds 0247,UK,LEEDS,Metro,Pizza,1,Direct sales,2025-04-06
R-0248,Vegetarian Gothenburg 0248,SE,Gothenburg,Metro,Vegetarian,1,Direct sales,2025-09-30
R-0249,Kebab Birmingham 0249,United Kingdom,Birmingham,Metro,Kebab,1,Paid search,06/02/2026
R-0250,Sushi Esbjerg 0250,DK,Esbjerg,Small,Sushi,0,Inbound,06/08/2026
R-0251,Burger Esbjerg 0251,DK,Esbjerg,Small,Burger,0,Inbound,2026-05-27
R-0252,Vegetarian Oslo 0252,NO,  Oslo ,Metro,Vegetarian,0,Partner,10/08/2026
R-0253,Pizza Leeds 0253,UK,Leeds,Metro,Pizza,0,Inbound,2026-03-14
R-0254,Pizza London 0254,UK,  London ,Metro,Pizza,0,Direct sales,03/06/2026
R-0255,Pizza Aarhus 0255,Denmark,Aarhus,Mid,Pizza,0,Referral,2026-07-29
R-0256,Indian Leeds 0256,UK,Leeds,Small,Indian,0,Inbound,30/08/2026
R-0257,Chinese Copenhagen 0257,Denmark,Copenhagen,Mid,Chinese,0,Inbound,2025-10-16
R-0258,Pizza Leeds 0258,UK,Leeds,Small,Pizza,1,Direct sales,18/11/2025
R-0259,Thai Bristol 0259,UK,Bristol,Small,Thai,0,Paid search,2026-05-30
R-0260,Pizza Cologne 0260,DE,Cologne,Metro,Pizza,0,Referral,2025-03-04
R-0261,Kebab Frankfurt 0261,DE,Frankfurt,Mid,Kebab,0,Direct sales,2025-06-04
R-0262,Thai Copenhagen 0262,DK,Copenhagen,Metro,Thai,1,Paid search,30/09/2025
R-0263,Pizza Cologne 0263,de,Cologne,Metro,Pizza,0,Referral,2026-01-03
R-0264,Pizza Hamburg 0264,Germany,Hamburg,Metro,Pizza,0,Inbound,2026-06-11
R-0265,Indian Manchester 0265,UK,Manchester,Mid,Indian,0,Paid search,2026-08-14
R-0266,Pizza Copenhagen 0266,DK,Copenhagen,Small,Pizza,1,Partner,2026-07-20
R-0267,Thai Bristol 0267,UK,Bristol,Mid,Thai,0,Direct sales,2026-08-17
R-0268,Kebab Hamburg 0268,DE,HAMBURG,Small,Kebab,0,Inbound,2026-06-01
R-0269,Nordic Uppsala 0269,se,Uppsala,Metro,Nordic,0,Direct sales,2026-06-04
R-0270,Chinese Trondheim 0270,NO,  Trondheim ,Metro,N/A,1,Partner,2026-03-17
R-0271,Pizza Uppsala 0271,SE,  Uppsala ,Mid,Pizza,0,Direct sales,2025-05-24
R-0272,Sushi Esbjerg 0272,DK,Esbjerg,Metro,Sushi,0,Direct sales,2026-06-16
R-0273,Indian Leeds 0273,UK,Leeds,Metro,Indian,0,Direct sales,2026-05-06
R-0274,Pizza Aalborg 0274,DK,  Aalborg ,Metro,Pizza,0,Inbound,2026-01-24
R-0275,Pizza Copenhagen 0275,DK,Copenhagen,Metro,Pizza,0,Partner,2026-06-08
R-0276,Burger Trondheim 0276,NO,Trondheim,Metro,Burger,0,Paid search,2026-01-04
R-0277,Burger Trondheim 0277,NO,Trondheim,Metro,Burger,0,Partner,2025-05-14
R-0278,Sushi Manchester 0278,UK,Manchester,Small,Sushi,0,Direct sales,2025-12-17
R-0279,Pizza Oslo 0279,NO,OSLO,Metro,Pizza,0,Referral,2025-12-31
R-0280,Sushi Aarhus 0280,DK,Aarhus,Mid,Sushi,0,Direct sales,2026-07-24
R-0281,Kebab Bergen 0281,NO,Bergen,Mid,Kebab,0,Direct sales,23/07/2025
R-0282,Pizza Esbjerg 0282,DK,Esbjerg,Small,Pizza,0,Direct sales,2025-09-02
