ticket_id,restaurant_id,ticket_date,category,resolution_hours,satisfaction_score
T-000129,R-0037,2025-09-18,Technical,3.0,2
T-000130,R-0037,2025-10-25,Menu,7.2,1
T-000131,R-0040,2026-03-02,Menu,10.3,5
T-000132,R-0042,2025-10-07,Onboarding,43.7,5
T-000133,R-0042,2025-10-22,Onboarding,10.3,5
T-000134,R-0042,2025-11-14,Menu,18.8,5
T-000135,R-0042,2026-07-28,Billing,8.0,4
T-000136,R-0043,2026-06-14,Billing,10.2,5
T-000137,R-0044,2026-01-07,Billing,11.4,2
T-000138,R-0044,2026-03-26,Technical,14.8,4
T-000139,R-0044,2026-03-03,Technical,15.0,4
T-000140,R-0046,2025-04-16,Menu,5.0,4
T-000141,R-0046,2025-05-29,Billing,2.5,3
T-000142,R-0046,2025-09-03,Billing,4.1,5
T-000143,R-0046,2025-11-21,Onboarding,5.1,1
T-000144,R-0046,2026-02-28,Technical,19.1,3
T-000145,R-0047,2026-05-16,Onboarding,9.1,5
T-000146,R-0047,2026-08-25,Billing,1.8,5
T-000147,R-0047,2026-08-27,Menu,4.6,5
T-000148,R-0048,2026-07-31,Billing,4.3,5
T-000149,R-0049,2025-11-10,Technical,8.7,1
T-000150,R-0049,2025-11-23,Technical,6.6,4
T-000151,R-0050,2025-01-20,Billing,29.8,4
T-000152,R-0050,2025-01-15,Technical,18.2,5
T-000153,R-0052,2026-07-29,Payments,2.9,2
T-000154,R-0052,2026-07-29,Billing,4.0,2
T-000155,R-0052,2026-08-16,Technical,12.6,5
T-000156,R-0052,2026-08-04,Payments,2.4,4
T-000157,R-0053,2025-03-08,Onboarding,8.0,5
T-000158,R-0053,2025-03-01,Payments,6.8,4
T-000159,R-0053,2025-06-05,Technical,16.7,4
T-000160,R-0053,2025-06-13,Onboarding,4.1,5
T-000161,R-0053,2025-07-19,Technical,29.0,5
T-000162,R-0053,2025-11-20,Payments,4.5,4
T-000163,R-0053,2025-12-01,Menu,17.5,3
T-000164,R-0053,2026-02-18,Technical,8.5,4
T-000165,R-0053,2026-03-10,Billing,22.5,3
T-000166,R-0053,2026-07-17,Menu,13.1,4
T-000167,R-0055,2025-12-12,Menu,16.2,3
T-000168,R-0055,2026-05-12,Onboarding,5.5,4
T-000169,R-0055,2026-07-19,Menu,13.8,5
T-000170,R-0056,2025-07-22,Menu,34.0,5
T-000171,R-0059,2025-10-31,Technical,9.0,3
T-000172,R-0059,2025-11-17,Billing,6.3,3
T-000173,R-0059,2025-11-19,Payments,8.4,2
T-000174,R-0059,2026-02-03,Menu,28.0,5
T-000175,R-0059,2026-02-05,Technical,6.0,5
T-000176,R-0059,2026-05-31,Payments,20.9,4
T-000177,R-0059,2026-06-12,Billing,4.1,1
T-000178,R-0059,2026-07-10,Billing,20.6,4
T-000179,R-0059,2026-07-17,Technical,4.5,3
T-000180,R-0060,2026-07-25,Onboarding,1.6,3
T-000181,R-0061,2025-06-20,Onboarding,11.6,1
T-000182,R-0061,2025-08-26,Onboarding,0.8,5
T-000183,R-0061,2025-08-03,Onboarding,10.2,1
T-000184,R-0061,2025-11-05,Payments,4.5,5
T-000185,R-0061,2025-12-04,Billing,1.6,2
T-000186,R-0061,2026-01-23,Technical,5.7,3
T-000187,R-0064,2026-08-13,Billing,0.6,5
T-000188,R-0065,2025-11-18,Menu,3.9,3
T-000189,R-0067,2026-07-30,Billing,12.4,5
T-000190,R-0067,2026-08-15,Billing,2.9,4
T-000191,R-0068,2026-07-02,Billing,8.5,5
T-000192,R-0069,2026-05-31,Payments,24.2,5
T-000193,R-0069,2026-05-30,Technical,10.7,5
T-000194,R-0070,2026-03-12,Technical,28.7,5
T-000195,R-0071,2026-08-31,Technical,13.0,5
T-000196,R-0072,2025-09-30,Menu,10.7,5
T-000197,R-0072,2025-10-17,Billing,2.3,4
T-000198,R-0073,2026-06-27,Menu,18.4,4
T-000199,R-0073,2026-06-25,Billing,5.0,5
T-000200,R-0074,2026-01-21,Billing,14.3,5
T-000201,R-0075,2025-08-30,Technical,4.4,5
T-000202,R-0075,2026-01-20,Billing,8.4,5
T-000203,R-0075,2026-04-04,Billing,43.3,5
T-000204,R-0075,2026-08-05,Technical,20.1,3
T-000205,R-0075,2026-08-20,Payments,1.2,5
T-000206,R-0076,2025-08-24,Technical,26.8,2
T-000207,R-0079,2025-09-16,Technical,20.0,1
T-000208,R-0079,2026-06-29,Menu,8.4,4
T-000209,R-0081,2025-05-14,Menu,4.6,4
T-000210,R-0081,2025-07-30,Onboarding,24.9,4
T-000211,R-0081,2026-01-22,Billing,4.9,4
T-000212,R-0081,2026-03-27,Technical,5.6,5
T-000213,R-0081,2026-04-28,Billing,11.9,4
T-000214,R-0083,2025-12-07,Billing,2.8,4
T-000215,R-0083,2026-02-08,Billing,2.6,2
T-000216,R-0083,2026-06-06,Technical,13.7,4
T-000217,R-0083,2026-07-13,Onboarding,10.8,5
T-000218,R-0085,2026-03-19,Technical,9.9,4
T-000219,R-0085,2026-03-24,Technical,19.0,4
T-000220,R-0086,2026-05-29,Menu,4.6,5
T-000221,R-0087,2025-06-24,Menu,19.6,5
T-000222,R-0088,2026-08-26,Technical,16.2,5
T-000223,R-0089,2025-11-25,Technical,9.0,5
T-000224,R-0089,2026-03-29,Onboarding,3.9,5
T-000225,R-0089,2026-04-11,Onboarding,14.3,5
T-000226,R-0089,2026-05-13,Onboarding,9.6,5
T-000227,R-0089,2026-05-06,Menu,7.7,4
T-000228,R-0089,2026-06-26,Menu,9.3,3
T-000229,R-0089,2026-06-01,Technical,28.6,1
T-000230,R-0089,2026-08-02,Billing,17.0,5
T-000231,R-0090,2025-07-17,Menu,23.9,5
T-000232,R-0090,2025-10-11,Onboarding,5.5,4
T-000233,R-0090,2025-11-01,Technical,23.2,3
T-000234,R-0090,2026-01-23,Menu,5.1,5
T-000235,R-0090,2026-02-07,Billing,9.1,5
T-000236,R-0090,2026-05-25,Onboarding,30.9,5
T-000237,R-0090,2026-08-10,Onboarding,4.0,5
T-000238,R-0091,2025-07-27,Menu,16.8,3
T-000239,R-0091,2025-08-15,Technical,13.8,4
T-000240,R-0091,2025-11-06,Menu,7.8,2
T-000241,R-0091,2025-12-16,Onboarding,6.7,4
T-000242,R-0091,2026-01-04,Technical,26.9,2
T-000243,R-0091,2026-01-24,Onboarding,3.9,3
T-000244,R-0091,2026-01-08,Onboarding,7.6,4
T-000245,R-0091,2026-03-06,Billing,0.8,2
T-000246,R-0091,2026-03-06,Technical,13.3,3
T-000247,R-0092,2025-04-30,Technical,9.3,5
T-000248,R-0092,2025-05-24,Payments,9.2,4
T-000249,R-0092,2025-09-18,Technical,13.7,4
T-000250,R-0092,2025-09-07,Billing,1.6,4
T-000251,R-0092,2025-11-22,Technical,8.0,3
T-000252,R-0092,2025-11-24,Technical,10.3,5
T-000253,R-0092,2025-12-28,Billing,23.2,4
T-000254,R-0092,2025-12-04,Technical,8.8,4
T-000255,R-0093,2026-08-28,Technical,21.7,3
T-000256,R-0094,2026-06-26,Billing,14.9,5
T-000257,R-0094,2026-08-28,Onboarding,28.3,5
T-000258,R-0095,2025-08-28,Menu,2.2,3
T-000259,R-0098,2026-01-17,Technical,20.8,4
T-000260,R-0098,2026-01-28,Billing,12.7,5
T-000261,R-0098,2026-03-16,Onboarding,6.0,4
T-000262,R-0098,2026-04-26,Billing,8.7,4
T-000263,R-0098,2026-04-30,Onboarding,22.3,4
T-000264,R-0098,2026-05-13,Billing,13.5,3
T-000265,R-0098,2026-06-06,Menu,10.6,5
T-000266,R-0099,2025-08-24,Technical,1.3,5
T-000267,R-0099,2025-08-31,Billing,5.3,4
T-000268,R-0100,2025-07-31,Technical,21.6,5
T-000269,R-0100,2026-02-21,Onboarding,3.8,3
T-000270,R-0100,2026-05-06,Technical,10.1,3
T-000271,R-0100,2026-07-09,Technical,7.6,3
T-000272,R-0101,2025-06-16,Onboarding,8.7,3
T-000273,R-0101,2025-07-08,Billing,16.6,4
T-000274,R-0101,2025-09-07,Billing,12.9,5
T-000275,R-0101,2026-03-15,Technical,6.7,5
T-000276,R-0101,2026-04-08,Payments,9.8,5
T-000277,R-0101,2026-07-02,Technical,15.8,5
T-000278,R-0101,2026-08-29,Onboarding,15.5,4
T-000279,R-0102,2025-10-29,Billing,2.1,4
T-000280,R-0103,2025-07-31,Technical,26.9,5
T-000281,R-0103,2025-12-25,Payments,4.0,5
T-000282,R-0103,2026-03-16,Technical,3.9,5
T-000283,R-0104,2025-02-27,Onboarding,17.0,2
T-000284,R-0104,2025-02-28,Technical,5.8,5
T-000285,R-0104,2025-05-02,Billing,4.4,5
T-000286,R-0104,2025-10-09,Technical,4.3,3
T-000287,R-0104,2025-11-07,Technical,3.1,5
T-000288,R-0104,2025-12-13,Payments,9.1,5
T-000289,R-0104,2026-01-07,Technical,12.2,4
T-000290,R-0104,2026-01-23,Payments,11.1,5
T-000291,R-0107,2025-11-29,Technical,6.2,4
T-000292,R-0108,2026-08-16,Billing,5.9,2
T-000293,R-0109,2026-01-27,Technical,5.3,2
T-000294,R-0109,2026-01-01,Onboarding,12.5,4
T-000295,R-0109,2026-05-09,Technical,17.8,5
T-000296,R-0110,2025-04-25,Technical,2.2,4
T-000297,R-0110,2025-05-16,Technical,4.3,4
T-000298,R-0110,2025-08-23,Billing,7.8,5
T-000299,R-0110,2025-09-02,Technical,5.0,3
T-000300,R-0110,2025-10-20,Technical,7.2,1
T-000301,R-0110,2025-11-28,Billing,60.7,2
T-000302,R-0110,2026-01-17,Technical,8.2,3
T-000303,R-0110,2026-01-03,Onboarding,14.0,2
T-000304,R-0110,2026-06-23,Technical,11.9,5
T-000305,R-0110,2026-08-15,Technical,1.7,5
T-000306,R-0111,2025-06-20,Technical,15.9,5
T-000307,R-0111,2025-06-23,Onboarding,16.3,5
T-000308,R-0111,2025-07-21,Technical,4.4,5
T-000309,R-0111,2025-09-22,Billing,5.5,3
T-000310,R-0111,2025-10-12,Billing,18.4,4
T-000311,R-0111,2025-12-07,Billing,12.7,4
T-000312,R-0111,2026-01-09,Technical,8.3,4
T-000313,R-0111,2026-02-26,Billing,3.2,5
T-000314,R-0111,2026-04-18,Technical,11.3,1
T-000315,R-0111,2026-06-08,Technical,11.1,5
T-000316,R-0111,2026-07-01,Menu,24.4,4
T-000317,R-0111,2026-08-21,Payments,14.7,5
T-000318,R-0111,2026-08-25,Onboarding,7.7,5
T-000319,R-0112,2026-03-05,Technical,23.7,4
T-000320,R-0112,2026-03-20,Billing,26.5,3
T-000321,R-0112,2026-08-18,Billing,8.4,3
T-000322,R-0114,2025-12-21,Technical,14.8,1
T-000323,R-0114,2026-01-26,Onboarding,10.6,4
T-000324,R-0114,2026-01-23,Technical,15.7,5
T-000325,R-0115,2025-11-06,Payments,10.9,3
T-000326,R-0115,2026-06-17,Onboarding,11.3,5
T-000327,R-0115,2026-06-03,Payments,6.3,4
T-000328,R-0117,2026-02-10,Billing,6.8,2
T-000329,R-0117,2026-08-08,Billing,24.4,2
T-000330,R-0120,2025-10-06,Billing,7.9,5
T-000331,R-0120,2026-03-02,Menu,1.0,5
T-000332,R-0121,2025-11-22,Billing,15.7,4
T-000333,R-0121,2025-11-13,Billing,6.0,4
T-000334,R-0121,2025-12-02,Technical,6.1,4
T-000335,R-0121,2025-12-23,Technical,8.7,4
T-000336,R-0121,2026-01-24,Billing,3.2,4
T-000337,R-0121,2026-02-11,Billing,14.9,3
T-000338,R-0121,2026-03-07,Technical,10.6,5
T-000339,R-0121,2026-03-31,Technical,15.8,4
T-000340,R-0122,2026-06-29,Menu,20.3,2
T-000341,R-0122,2026-08-25,Menu,16.9,5
T-000342,R-0123,2025-06-22,Payments,21.7,3
T-000343,R-0123,2025-09-20,Billing,24.1,5
T-000344,R-0123,2025-10-19,Onboarding,9.1,4
T-000345,R-0123,2025-10-04,Payments,1.5,3
T-000346,R-0123,2026-04-01,Technical,9.7,3
T-000347,R-0124,2026-02-07,Onboarding,9.6,4
T-000348,R-0126,2025-01-23,Billing,18.0,4
T-000349,R-0126,2025-06-25,Billing,15.7,1
T-000350,R-0126,2025-07-23,Technical,19.0,3
T-000351,R-0126,2025-07-07,Onboarding,5.4,4
T-000352,R-0126,2025-09-27,Technical,2.4,5
T-000353,R-0127,2026-02-03,Payments,18.3,4
T-000354,R-0127,2026-02-23,Technical,3.4,4
T-000355,R-0129,2026-05-12,Menu,16.0,4
T-000356,R-0131,2026-03-04,Payments,12.6,2
T-000357,R-0132,2025-11-26,Technical,13.4,5
T-000358,R-0132,2026-03-10,Menu,21.6,5
T-000359,R-0132,2026-07-22,Billing,9.6,4
T-000360,R-0134,2026-05-24,Billing,22.1,5
T-000361,R-0134,2026-05-09,Technical,3.1,4
T-000362,R-0134,2026-07-21,Onboarding,9.9,4
T-000363,R-0135,2026-02-04,Technical,2.8,3
T-000364,R-0135,2026-06-02,Technical,6.1,3
T-000365,R-0136,2025-10-25,Billing,8.0,3
T-000366,R-0136,2025-11-23,Billing,3.4,3
T-000367,R-0137,2026-08-20,Billing,18.4,3
T-000368,R-0138,2026-07-23,Technical,5.9,2
T-000369,R-0138,2026-07-18,Technical,27.8,4
T-000370,R-0140,2025-11-12,Billing,18.0,3
T-000371,R-0140,2026-05-01,Technical,6.9,4
T-000372,R-0140,2026-06-30,Menu,12.7,5
T-000373,R-0141,2025-05-27,Technical,2.6,4
T-000374,R-0141,2025-07-12,Billing,10.6,3
T-000375,R-0141,2025-08-17,Technical,14.4,3
T-000376,R-0141,2025-10-06,Billing,6.8,4
T-000377,R-0141,2025-11-14,Technical,26.0,4
T-000378,R-0141,2026-01-02,Technical,14.9,3
T-000379,R-0141,2026-03-16,Payments,6.7,4
T-000380,R-0141,2026-05-31,Menu,6.1,4
T-000381,R-0141,2026-07-25,Billing,16.7,3
T-000382,R-0142,2025-06-13,Menu,11.4,2
T-000383,R-0142,2025-11-25,Technical,4.6,4
T-000384,R-0142,2025-12-13,Billing,1.9,2
T-000385,R-0142,2026-04-05,Payments,3.5,1
T-000386,R-0142,2026-08-30,Onboarding,14.1,3
T-000387,R-0143,2025-02-18,Technical,9.1,4
T-000388,R-0143,2025-03-11,Billing,7.3,4
T-000389,R-0143,2025-04-17,Menu,6.3,5
T-000390,R-0143,2025-06-11,Onboarding,18.4,1
T-000391,R-0143,2025-09-05,Technical,17.2,5
T-000392,R-0144,2025-06-28,Menu,7.7,5
T-000393,R-0144,2025-07-02,Payments,19.9,1
T-000394,R-0144,2025-08-28,Menu,9.3,3
T-000395,R-0145,2025-12-31,Technical,7.7,4
T-000396,R-0145,2025-12-31,Menu,2.0,5
T-000397,R-0145,2026-04-16,Billing,6.3,4
T-000398,R-0146,2025-04-21,Technical,17.3,4
T-000399,R-0146,2025-04-18,Technical,53.6,3
T-000400,R-0146,2025-08-01,Technical,15.3,5
T-000401,R-0147,2026-07-14,Menu,18.7,4
T-000402,R-0147,2026-08-08,Onboarding,6.4,5
T-000403,R-0148,2026-04-27,Onboarding,1.8,5
T-000404,R-0148,2026-05-31,Technical,5.5,5
T-000405,R-0148,2026-05-26,Payments,6.6,2
T-000406,R-0148,2026-05-03,Technical,10.8,2
T-000407,R-0148,2026-06-03,Technical,4.0,5
T-000408,R-0148,2026-06-28,Menu,9.0,2
T-000409,R-0148,2026-07-23,Menu,2.9,5
T-000410,R-0148,2026-07-08,Payments,20.2,1
T-000411,R-0148,2026-07-29,Billing,10.3,3
T-000412,R-0148,2026-08-10,Technical,12.7,3
T-000413,R-0149,2026-08-28,Menu,2.8,4
T-000414,R-0149,2026-08-30,Onboarding,10.0,5
T-000415,R-0150,2026-08-23,Payments,1.5,5
T-000416,R-0151,2026-04-26,Billing,3.7,4
T-000417,R-0151,2026-05-20,Menu,10.8,4
T-000418,R-0151,2026-06-17,Technical,9.1,4
T-000419,R-0151,2026-06-24,Technical,32.1,5
T-000420,R-0151,2026-07-01,Billing,15.8,3
T-000421,R-0151,2026-07-04,Billing,6.1,4
T-000422,R-0152,2026-01-24,Technical,23.4,2
T-000423,R-0152,2026-04-17,Technical,14.5,5
T-000424,R-0152,2026-06-02,Payments,9.5,5
T-000425,R-0152,2026-07-19,Menu,13.6,5
T-000426,R-0152,2026-07-20,Menu,2.5,3
T-000427,R-0153,2026-02-02,Technical,25.9,2
T-000428,R-0153,2026-05-07,Technical,2.0,5
T-000429,R-0153,2026-05-16,Menu,4.2,3
T-000430,R-0153,2026-05-13,Onboarding,6.6,3
T-000431,R-0153,2026-06-06,Technical,14.8,5
T-000432,R-0155,2025-10-29,Technical,4.3,4
T-000433,R-0155,2025-12-12,Technical,9.8,4
T-000434,R-0155,2025-12-06,Technical,4.6,2
T-000435,R-0155,2026-01-07,Payments,7.5,5
T-000436,R-0155,2026-01-07,Billing,25.1,3
T-000437,R-0155,2026-01-06,Menu,3.7,5
T-000438,R-0155,2026-03-17,Payments,13.5,4
T-000439,R-0155,2026-06-13,Technical,5.7,4
T-000440,R-0155,2026-07-16,Technical,16.0,3
T-000441,R-0156,2026-08-27,Billing,6.0,4
T-000442,R-0158,2025-12-20,Payments,19.1,4
T-000443,R-0158,2025-12-30,Billing,7.4,3
T-000444,R-0158,2026-03-31,Payments,20.6,5
T-000445,R-0158,2026-06-19,Technical,11.6,4
T-000446,R-0159,2026-05-05,Onboarding,17.6,4
T-000447,R-0159,2026-06-27,Technical,5.9,2
T-000448,R-0159,2026-08-06,Menu,14.3,4
T-000449,R-0159,2026-08-04,Payments,16.7,2
T-000450,R-0160,2026-01-08,Onboarding,14.3,4
T-000451,R-0160,2026-02-25,Menu,7.6,4
T-000452,R-0160,2026-07-12,Onboarding,1.6,2
T-000453,R-0161,2026-08-07,Technical,13.2,3
T-000454,R-0162,2025-12-20,Onboarding,10.7,3
T-000455,R-0163,2026-08-27,Onboarding,5.7,4
T-000456,R-0164,2025-06-28,Payments,9.1,4
T-000457,R-0164,2025-07-01,Menu,17.7,3
T-000458,R-0164,2025-08-02,Payments,12.3,5
T-000459,R-0164,2025-09-04,Menu,9.5,5
T-000460,R-0164,2026-01-18,Onboarding,4.6,4
T-000461,R-0164,2026-04-08,Technical,13.1,2
T-000462,R-0164,2026-06-12,Technical,7.7,5
T-000463,R-0164,2026-07-14,Technical,2.1,4
T-000464,R-0164,2026-08-10,Payments,15.6,2
T-000465,R-0164,2026-08-12,Menu,7.2,2
T-000466,R-0165,2026-05-29,Technical,5.9,4
T-000467,R-0165,2026-05-27,Technical,6.7,3
T-000468,R-0165,2026-07-24,Billing,21.2,5
T-000469,R-0166,2025-12-29,Menu,2.0,3
T-000470,R-0166,2025-12-30,Technical,7.3,4
T-000471,R-0166,2025-12-27,Onboarding,5.2,5
T-000472,R-0166,2025-12-28,Billing,5.9,5
T-000473,R-0166,2026-04-11,Onboarding,9.9,5
T-000474,R-0166,2026-04-16,Technical,12.2,5
T-000475,R-0166,2026-04-04,Onboarding,10.0,4
T-000476,R-0166,2026-05-03,Payments,8.8,5
T-000477,R-0167,2026-05-27,Onboarding,11.0,5
T-000478,R-0167,2026-07-05,Onboarding,19.9,4
T-000479,R-0167,2026-08-27,Technical,7.5,4
T-000480,R-0168,2026-01-27,Menu,17.1,3
T-000481,R-0168,2026-06-23,Technical,26.5,3
T-000482,R-0168,2026-07-13,Menu,10.3,5
T-000483,R-0169,2026-08-16,Technical,2.1,5
T-000484,R-0171,2025-02-28,Menu,12.1,4
T-000485,R-0171,2025-02-26,Technical,11.6,4
T-000486,R-0171,2025-06-03,Payments,14.3,4
T-000487,R-0171,2025-06-30,Payments,19.2,4
T-000488,R-0171,2025-08-20,Technical,14.0,5
T-000489,R-0171,2025-09-28,Onboarding,7.4,3
T-000490,R-0171,2025-12-24,Technical,7.0,5
T-000491,R-0171,2025-12-19,Menu,30.7,4
T-000492,R-0173,2025-08-19,Onboarding,17.0,3
T-000493,R-0174,2025-10-20,Menu,15.9,3
T-000494,R-0175,2025-07-04,Technical,10.7,5
T-000495,R-0175,2026-02-24,Technical,10.0,1
T-000496,R-0175,2026-05-18,Technical,10.6,5
T-000497,R-0175,2026-06-02,Menu,7.6,5
T-000498,R-0175,2026-06-13,Technical,3.1,5
T-000499,R-0176,2026-06-12,Billing,4.4,4
T-000500,R-0178,2026-02-12,Payments,18.4,1
T-000501,R-0178,2026-05-20,Onboarding,6.1,4
T-000502,R-0178,2026-06-29,Technical,10.6,5
T-000503,R-0179,2025-10-08,Menu,27.1,4
T-000504,R-0179,2025-11-27,Technical,7.4,4
T-000505,R-0179,2025-12-09,Onboarding,12.8,3
T-000506,R-0179,2025-12-06,Billing,13.4,4
T-000507,R-0180,2026-04-14,Technical,6.2,3
T-000508,R-0181,2026-02-21,Technical,15.6,2
