cohort,cohort_size,lifecycle_month,active_subscriptions,retention_pct,mrr_eur,arpu_eur
2025-04,28,12,15,53.6,2013.5,134.23
2025-04,28,13,15,53.6,2113.5,140.9
2025-04,28,14,15,53.6,2158.5,143.9
2025-04,28,15,15,53.6,2298.5,153.23
2025-04,28,16,15,53.6,2468.5,164.57
2025-05,27,0,27,100.0,2885.25,106.86
2025-05,27,1,27,100.0,2885.25,106.86
2025-05,27,2,26,96.3,2846.05,109.46
2025-05,27,3,24,88.9,2602.95,108.46
2025-05,27,4,23,85.2,2603.95,113.22
2025-05,27,5,23,85.2,2553.95,111.04
2025-05,27,6,23,85.2,2703.95,117.56
2025-05,27,7,23,85.2,2703.95,117.56
2025-05,27,8,22,81.5,2762.3,125.56
2025-05,27,9,21,77.8,2663.3,126.82
2025-05,27,10,21,77.8,2813.3,133.97
2025-05,27,11,20,74.1,2771.65,138.58
2025-05,27,12,18,66.7,2678.55,148.81
2025-05,27,13,18,66.7,2828.55,157.14
2025-05,27,14,17,63.0,2826.95,166.29
2025-05,27,15,16,59.3,2737.85,171.12
2025-06,22,0,22,100.0,2818.8,128.13
2025-06,22,1,22,100.0,2818.8,128.13
2025-06,22,2,21,95.5,2619.8,124.75
2025-06,22,3,21,95.5,2709.8,129.04
2025-06,22,4,18,81.8,2412.8,134.04
2025-06,22,5,15,68.2,2045.5,136.37
2025-06,22,6,15,68.2,2045.5,136.37
2025-06,22,7,14,63.6,1996.5,142.61
2025-06,22,8,14,63.6,1996.5,142.61
2025-06,22,9,13,59.1,1802.4,138.65
2025-06,22,10,13,59.1,1802.4,138.65
2025-06,22,11,13,59.1,1802.4,138.65
2025-06,22,12,13,59.1,2102.4,161.72
2025-06,22,13,13,59.1,2102.4,161.72
2025-06,22,14,13,59.1,2202.4,169.42
2025-07,28,0,28,100.0,3019.4,107.84
2025-07,28,1,28,100.0,3019.4,107.84
2025-07,28,2,24,85.7,2717.95,113.25
2025-07,28,3,23,82.1,2678.75,116.47
2025-07,28,4,23,82.1,2763.75,120.16
2025-07,28,5,20,71.4,2621.6,131.08
2025-07,28,6,20,71.4,2621.6,131.08
2025-07,28,7,18,64.3,2368.3,131.57
2025-07,28,8,18,64.3,2218.3,123.24
2025-07,28,9,15,53.6,1716.2,114.41
2025-07,28,10,15,53.6,1716.2,114.41
2025-07,28,11,15,53.6,1843.7,122.91
2025-07,28,12,14,50.0,1984.7,141.76
2025-07,28,13,14,50.0,2119.7,151.41
2025-08,35,0,35,100.0,3594.05,102.69
2025-08,35,1,35,100.0,3594.05,102.69
2025-08,35,2,34,97.1,3549.95,104.41
2025-08,35,3,31,88.6,3360.3,108.4
2025-08,35,4,31,88.6,3410.3,110.01
2025-08,35,5,31,88.6,3695.3,119.2
2025-08,35,6,28,80.0,3418.2,122.08
2025-08,35,7,28,80.0,3418.2,122.08
2025-08,35,8,26,74.3,3225.2,124.05
2025-08,35,9,25,71.4,3096.1,123.84
2025-08,35,10,25,71.4,2996.1,119.84
2025-08,35,11,23,65.7,2980.5,129.59
2025-08,35,12,22,62.9,3031.5,137.8
2025-09,36,0,36,100.0,4793.65,133.16
2025-09,36,1,36,100.0,4793.65,133.16
2025-09,36,2,35,97.2,4694.65,134.13
2025-09,36,3,33,91.7,4596.65,139.29
2025-09,36,4,30,83.3,4299.65,143.32
2025-09,36,5,28,77.8,3866.5,138.09
2025-09,36,6,26,72.2,3668.5,141.1
2025-09,36,7,25,69.4,3679.3,147.17
2025-09,36,8,23,63.9,3531.3,153.53
2025-09,36,9,21,58.3,3053.1,145.39
2025-09,36,10,20,55.6,3084.1,154.2
2025-09,36,11,19,52.8,2835.1,149.22
2025-10,30,0,30,100.0,3459.0,115.3
2025-10,30,1,30,100.0,3459.0,115.3
2025-10,30,2,27,90.0,3076.85,113.96
2025-10,30,3,25,83.3,2978.85,119.15
2025-10,30,4,23,76.7,3130.85,136.12
2025-10,30,5,22,73.3,3031.85,137.81
2025-10,30,6,20,66.7,2941.2,147.06
2025-10,30,7,20,66.7,2941.2,147.06
2025-10,30,8,20,66.7,3033.7,151.69
2025-10,30,9,18,60.0,3000.55,166.7
2025-10,30,10,15,50.0,2733.3,182.22
2025-11,27,0,27,100.0,3466.9,128.4
2025-11,27,1,27,100.0,3466.9,128.4
2025-11,27,2,26,96.3,3377.8,129.92
2025-11,27,3,25,92.6,3263.8,130.55
2025-11,27,4,25,92.6,3413.8,136.55
2025-11,27,5,23,85.2,3023.2,131.44
2025-11,27,6,23,85.2,3143.2,136.66
2025-11,27,7,22,81.5,3094.2,140.65
2025-11,27,8,22,81.5,3144.2,142.92
2025-11,27,9,22,81.5,3294.2,149.74
2025-12,33,0,33,100.0,4331.15,131.25
2025-12,33,1,33,100.0,4331.15,131.25
2025-12,33,2,31,93.9,4033.15,130.1
2025-12,33,3,30,90.9,3884.15,129.47
2025-12,33,4,29,87.9,3785.15,130.52
2025-12,33,5,27,81.8,3517.0,130.26
2025-12,33,6,24,72.7,3277.35,136.56
2025-12,33,7,23,69.7,3228.35,140.36
2025-12,33,8,22,66.7,3129.35,142.24
2026-01,29,0,29,100.0,2872.6,99.06
2026-01,29,1,29,100.0,2872.6,99.06
2026-01,29,2,28,96.6,2830.95,101.11
2026-01,29,3,27,93.1,2879.3,106.64
2026-01,29,4,26,89.7,2840.1,109.23
2026-01,29,5,26,89.7,2940.1,113.08
2026-01,29,6,26,89.7,2940.1,113.08
2026-01,29,7,24,82.8,3027.1,126.13
2026-02,34,0,34,100.0,3892.5,114.49
2026-02,34,1,34,100.0,3892.5,114.49
2026-02,34,2,31,91.2,3395.5,109.53
2026-02,34,3,29,85.3,3232.25,111.46
2026-02,34,4,28,82.4,3328.15,118.86
2026-02,34,5,27,79.4,3514.15,130.15
2026-02,34,6,27,79.4,3514.15,130.15
2026-03,24,0,24,100.0,2943.0,122.63
2026-03,24,1,24,100.0,2943.0,122.63
2026-03,24,2,24,100.0,2943.0,122.63
2026-03,24,3,22,91.7,2795.0,127.05
2026-03,24,4,22,91.7,2985.0,135.68
2026-03,24,5,21,87.5,2805.9,133.61
2026-04,32,0,32,100.0,4549.85,142.18
2026-04,32,1,32,100.0,4549.85,142.18
2026-04,32,2,31,96.9,4450.85,143.58
2026-04,32,3,29,90.6,4432.55,152.85
2026-04,32,4,28,87.5,4233.55,151.2
2026-05,36,0,36,100.0,3524.15,97.89
2026-05,36,1,36,100.0,3524.15,97.89
2026-05,36,2,35,97.2,3435.05,98.14
2026-05,36,3,32,88.9,3177.55,99.3
2026-06,39,0,39,100.0,5332.95,136.74
2026-06,39,1,39,100.0,5332.95,136.74
2026-06,39,2,39,100.0,5332.95,136.74
2026-07,34,0,34,100.0,4307.9,126.7
2026-07,34,1,34,100.0,4307.9,126.7
2026-08,49,0,49,100.0,5794.05,118.25
