restaurant_id,segmento,nombre_segmento
R-0123,1,Larga cola
R-0124,0,Ticket alto
R-0125,1,Larga cola
R-0126,2,Motor de volumen
R-0128,1,Larga cola
R-0129,1,Larga cola
R-0130,0,Ticket alto
R-0132,2,Motor de volumen
R-0133,1,Larga cola
R-0134,2,Motor de volumen
R-0135,0,Ticket alto
R-0136,0,Ticket alto
R-0140,0,Ticket alto
R-0141,2,Motor de volumen
R-0142,1,Larga cola
R-0143,0,Ticket alto
R-0144,3,Alta carga de soporte
R-0145,1,Larga cola
R-0146,2,Motor de volumen
R-0148,3,Alta carga de soporte
R-0151,0,Ticket alto
R-0152,2,Motor de volumen
R-0153,3,Alta carga de soporte
R-0154,1,Larga cola
R-0155,2,Motor de volumen
R-0157,2,Motor de volumen
R-0158,2,Motor de volumen
R-0159,0,Ticket alto
R-0160,1,Larga cola
R-0161,0,Ticket alto
R-0162,2,Motor de volumen
R-0164,2,Motor de volumen
R-0165,1,Larga cola
R-0166,2,Motor de volumen
R-0167,2,Motor de volumen
R-0168,2,Motor de volumen
R-0170,1,Larga cola
R-0171,2,Motor de volumen
R-0173,0,Ticket alto
R-0174,1,Larga cola
R-0175,2,Motor de volumen
R-0176,2,Motor de volumen
R-0178,0,Ticket alto
R-0179,3,Alta carga de soporte
R-0180,2,Motor de volumen
R-0181,3,Alta carga de soporte
R-0182,2,Motor de volumen
R-0184,2,Motor de volumen
R-0185,3,Alta carga de soporte
R-0186,0,Ticket alto
R-0187,2,Motor de volumen
R-0188,2,Motor de volumen
R-0189,2,Motor de volumen
R-0190,3,Alta carga de soporte
R-0191,1,Larga cola
R-0193,1,Larga cola
R-0194,1,Larga cola
R-0195,0,Ticket alto
R-0197,2,Motor de volumen
R-0200,2,Motor de volumen
R-0202,2,Motor de volumen
R-0204,2,Motor de volumen
R-0206,2,Motor de volumen
R-0207,0,Ticket alto
R-0209,1,Larga cola
R-0210,0,Ticket alto
R-0211,1,Larga cola
R-0212,2,Motor de volumen
R-0214,2,Motor de volumen
R-0215,1,Larga cola
R-0217,2,Motor de volumen
R-0218,2,Motor de volumen
R-0219,2,Motor de volumen
R-0220,2,Motor de volumen
R-0223,2,Motor de volumen
R-0224,3,Alta carga de soporte
R-0225,3,Alta carga de soporte
R-0226,2,Motor de volumen
R-0227,0,Ticket alto
R-0228,2,Motor de volumen
R-0229,2,Motor de volumen
R-0231,0,Ticket alto
R-0232,2,Motor de volumen
R-0233,2,Motor de volumen
R-0234,3,Alta carga de soporte
R-0235,0,Ticket alto
R-0236,1,Larga cola
R-0237,0,Ticket alto
R-0238,1,Larga cola
R-0239,2,Motor de volumen
R-0241,0,Ticket alto
R-0242,2,Motor de volumen
R-0243,1,Larga cola
R-0245,2,Motor de volumen
R-0246,1,Larga cola
R-0247,0,Ticket alto
R-0248,0,Ticket alto
R-0249,2,Motor de volumen
R-0251,1,Larga cola
R-0253,1,Larga cola
R-0254,1,Larga cola
R-0257,1,Larga cola
R-0258,1,Larga cola
R-0259,1,Larga cola
R-0260,1,Larga cola
R-0261,2,Motor de volumen
R-0262,1,Larga cola
R-0263,2,Motor de volumen
R-0264,0,Ticket alto
R-0268,3,Alta carga de soporte
R-0269,0,Ticket alto
R-0270,0,Ticket alto
R-0271,0,Ticket alto
R-0272,0,Ticket alto
R-0273,2,Motor de volumen
R-0274,3,Alta carga de soporte
R-0275,1,Larga cola
R-0276,2,Motor de volumen
R-0277,2,Motor de volumen
R-0278,1,Larga cola
R-0279,0,Ticket alto
R-0281,2,Motor de volumen
R-0282,0,Ticket alto
R-0284,2,Motor de volumen
R-0285,0,Ticket alto
R-0286,1,Larga cola
R-0287,0,Ticket alto
R-0288,0,Ticket alto
R-0289,1,Larga cola
R-0290,0,Ticket alto
R-0291,0,Ticket alto
R-0292,2,Motor de volumen
R-0293,2,Motor de volumen
R-0294,1,Larga cola
R-0295,0,Ticket alto
R-0296,2,Motor de volumen
R-0297,2,Motor de volumen
R-0298,1,Larga cola
R-0299,1,Larga cola
R-0301,2,Motor de volumen
R-0302,3,Alta carga de soporte
R-0303,0,Ticket alto
R-0304,2,Motor de volumen
R-0305,1,Larga cola
R-0306,1,Larga cola
R-0308,2,Motor de volumen
R-0309,0,Ticket alto
R-0310,3,Alta carga de soporte
R-0311,2,Motor de volumen
R-0312,2,Motor de volumen
R-0314,2,Motor de volumen
R-0315,2,Motor de volumen
R-0316,3,Alta carga de soporte
R-0320,1,Larga cola
R-0321,0,Ticket alto
R-0323,2,Motor de volumen
R-0324,0,Ticket alto
R-0326,2,Motor de volumen
R-0327,1,Larga cola
R-0328,2,Motor de volumen
R-0329,2,Motor de volumen
R-0330,0,Ticket alto
R-0331,1,Larga cola
R-0334,0,Ticket alto
R-0335,1,Larga cola
R-0336,2,Motor de volumen
R-0337,1,Larga cola
R-0338,2,Motor de volumen
R-0339,2,Motor de volumen
R-0340,2,Motor de volumen
R-0341,1,Larga cola
R-0342,0,Ticket alto
R-0343,1,Larga cola
R-0345,0,Ticket alto
R-0346,3,Alta carga de soporte
R-0347,0,Ticket alto
R-0348,0,Ticket alto
R-0349,0,Ticket alto
R-0350,0,Ticket alto
R-0351,0,Ticket alto
R-0352,2,Motor de volumen
R-0353,2,Motor de volumen
R-0354,1,Larga cola
R-0355,1,Larga cola
R-0357,2,Motor de volumen
R-0358,1,Larga cola
R-0359,0,Ticket alto
R-0360,1,Larga cola
R-0361,3,Alta carga de soporte
R-0362,2,Motor de volumen
R-0363,2,Motor de volumen
R-0364,0,Ticket alto
R-0365,3,Alta carga de soporte
R-0366,1,Larga cola
R-0367,0,Ticket alto
R-0368,0,Ticket alto
R-0369,2,Motor de volumen
R-0371,2,Motor de volumen
R-0372,2,Motor de volumen
R-0374,2,Motor de volumen
R-0375,2,Motor de volumen
R-0376,0,Ticket alto
R-0377,0,Ticket alto
R-0378,2,Motor de volumen
R-0379,2,Motor de volumen
R-0381,1,Larga cola
R-0382,2,Motor de volumen
R-0383,2,Motor de volumen
R-0384,0,Ticket alto
R-0385,1,Larga cola
R-0386,1,Larga cola
R-0387,3,Alta carga de soporte
R-0388,1,Larga cola
R-0389,2,Motor de volumen
R-0390,1,Larga cola
R-0391,0,Ticket alto
R-0392,2,Motor de volumen
R-0394,2,Motor de volumen
R-0395,1,Larga cola
R-0397,0,Ticket alto
R-0398,2,Motor de volumen
R-0399,2,Motor de volumen
R-0400,1,Larga cola
R-0401,0,Ticket alto
R-0402,1,Larga cola
R-0403,1,Larga cola
R-0404,0,Ticket alto
R-0407,2,Motor de volumen
R-0408,1,Larga cola
R-0409,2,Motor de volumen
R-0410,2,Motor de volumen
R-0411,0,Ticket alto
R-0412,1,Larga cola
R-0415,1,Larga cola
R-0416,1,Larga cola
R-0419,0,Ticket alto
R-0420,0,Ticket alto
R-0421,2,Motor de volumen
R-0422,3,Alta carga de soporte
R-0423,0,Ticket alto
R-0424,2,Motor de volumen
R-0425,0,Ticket alto
R-0426,0,Ticket alto
R-0428,2,Motor de volumen
R-0429,0,Ticket alto
R-0430,2,Motor de volumen
R-0431,1,Larga cola
R-0432,1,Larga cola
R-0433,0,Ticket alto
R-0434,2,Motor de volumen
R-0435,3,Alta carga de soporte
R-0436,1,Larga cola
R-0437,2,Motor de volumen
R-0438,1,Larga cola
R-0439,0,Ticket alto
R-0440,0,Ticket alto
R-0442,0,Ticket alto
R-0443,0,Ticket alto
R-0444,1,Larga cola
R-0446,2,Motor de volumen
R-0447,2,Motor de volumen
R-0448,1,Larga cola
R-0449,0,Ticket alto
R-0450,3,Alta carga de soporte
R-0451,0,Ticket alto
R-0453,0,Ticket alto
R-0454,2,Motor de volumen
R-0455,2,Motor de volumen
R-0457,2,Motor de volumen
R-0458,2,Motor de volumen
R-0459,1,Larga cola
R-0461,1,Larga cola
R-0462,0,Ticket alto
R-0463,2,Motor de volumen
R-0464,0,Ticket alto
R-0465,3,Alta carga de soporte
R-0466,2,Motor de volumen
R-0468,1,Larga cola
R-0469,0,Ticket alto
R-0470,1,Larga cola
R-0471,2,Motor de volumen
R-0472,2,Motor de volumen
R-0473,0,Ticket alto
R-0476,2,Motor de volumen
R-0477,0,Ticket alto
R-0478,2,Motor de volumen
R-0479,3,Alta carga de soporte
R-0480,1,Larga cola
R-0481,1,Larga cola
R-0482,1,Larga cola
R-0484,1,Larga cola
R-0486,2,Motor de volumen
R-0487,0,Ticket alto
R-0488,0,Ticket alto
R-0489,1,Larga cola
R-0490,1,Larga cola
R-0491,0,Ticket alto
R-0492,2,Motor de volumen
R-0493,1,Larga cola
R-0495,0,Ticket alto
R-0497,2,Motor de volumen
R-0498,0,Ticket alto
R-0499,1,Larga cola
R-0501,2,Motor de volumen
R-0502,3,Alta carga de soporte
R-0503,2,Motor de volumen
R-0504,0,Ticket alto
R-0505,0,Ticket alto
R-0508,0,Ticket alto
R-0509,0,Ticket alto
R-0510,1,Larga cola
R-0511,2,Motor de volumen
R-0512,1,Larga cola
R-0513,2,Motor de volumen
R-0514,2,Motor de volumen
R-0515,0,Ticket alto
R-0516,1,Larga cola
R-0518,1,Larga cola
R-0519,2,Motor de volumen
R-0520,1,Larga cola
R-0523,1,Larga cola
R-0524,0,Ticket alto
R-0525,2,Motor de volumen
R-0526,2,Motor de volumen
R-0527,3,Alta carga de soporte
R-0528,3,Alta carga de soporte
R-0529,0,Ticket alto
R-0530,1,Larga cola
R-0531,0,Ticket alto
R-0533,2,Motor de volumen
R-0534,3,Alta carga de soporte
R-0535,0,Ticket alto
R-0536,1,Larga cola
R-0538,2,Motor de volumen
R-0539,2,Motor de volumen
R-0540,1,Larga cola
R-0541,3,Alta carga de soporte
R-0542,2,Motor de volumen
R-0543,0,Ticket alto
R-0544,2,Motor de volumen
R-0545,2,Motor de volumen
R-0546,3,Alta carga de soporte
R-0547,2,Motor de volumen
R-0548,2,Motor de volumen
R-0549,2,Motor de volumen
R-0550,1,Larga cola
R-0551,0,Ticket alto
R-0552,2,Motor de volumen
R-0553,0,Ticket alto
R-0554,1,Larga cola
R-0555,2,Motor de volumen
R-0556,0,Ticket alto
R-0557,2,Motor de volumen
R-0560,0,Ticket alto
R-0561,3,Alta carga de soporte
R-0562,3,Alta carga de soporte
R-0563,3,Alta carga de soporte
R-0564,3,Alta carga de soporte
R-0565,3,Alta carga de soporte
R-0566,2,Motor de volumen
R-0567,1,Larga cola
R-0568,0,Ticket alto
R-0569,0,Ticket alto
R-0570,2,Motor de volumen
R-0572,3,Alta carga de soporte
R-0573,3,Alta carga de soporte
R-0575,1,Larga cola
R-0576,1,Larga cola
R-0577,2,Motor de volumen
R-0578,2,Motor de volumen
R-0579,2,Motor de volumen
R-0580,1,Larga cola
R-0581,0,Ticket alto
R-0582,1,Larga cola
R-0584,1,Larga cola
R-0585,0,Ticket alto
R-0586,2,Motor de volumen
R-0587,2,Motor de volumen
R-0588,3,Alta carga de soporte
R-0589,2,Motor de volumen
R-0590,2,Motor de volumen
R-0592,2,Motor de volumen
R-0593,0,Ticket alto
R-0594,0,Ticket alto
R-0596,1,Larga cola
R-0597,1,Larga cola
R-0598,1,Larga cola
R-0600,2,Motor de volumen
