campaign_id,restaurant_id,assignment_group,assigned_date
CMP-003,R-0206,treatment,2026-04-17
CMP-003,R-0208,control,2026-05-16
CMP-001,R-0209,targeted,2025-09-10
CMP-001,R-0210,targeted,2025-08-01
CMP-003,R-0212,treatment,2026-01-16
CMP-003,R-0215,control,2026-05-28
CMP-003,R-0217,treatment,2026-02-14
CMP-003,R-0219,treatment,2025-11-27
CMP-003,R-0220,treatment,2026-01-19
CMP-003,R-0222,treatment,2025-11-10
CMP-001,R-0223,targeted,2025-08-25
CMP-001,R-0224,targeted,2025-07-07
CMP-003,R-0225,treatment,2026-06-29
CMP-003,R-0226,control,2026-01-02
CMP-003,R-0229,treatment,2026-02-06
CMP-003,R-0231,treatment,2026-03-23
CMP-003,R-0233,control,2025-11-10
CMP-003,R-0234,treatment,2026-03-02
CMP-003,R-0235,control,2026-01-03
CMP-003,R-0237,control,2025-11-17
CMP-003,R-0238,control,2025-11-29
CMP-003,R-0241,treatment,2026-04-01
CMP-003,R-0243,treatment,2026-06-17
CMP-001,R-0246,targeted,2025-09-30
CMP-001,R-0248,targeted,2025-09-30
CMP-003,R-0249,treatment,2026-02-06
CMP-003,R-0251,treatment,2026-05-27
CMP-003,R-0253,control,2026-03-14
CMP-003,R-0254,control,2026-06-03
CMP-003,R-0257,control,2025-10-16
CMP-003,R-0258,control,2025-11-18
CMP-003,R-0259,control,2026-05-30
CMP-003,R-0263,treatment,2026-01-03
CMP-003,R-0264,treatment,2026-06-11
CMP-003,R-0268,control,2026-06-01
CMP-003,R-0269,treatment,2026-06-04
CMP-003,R-0270,control,2026-03-17
CMP-003,R-0272,treatment,2026-06-16
CMP-003,R-0273,control,2026-05-06
CMP-003,R-0274,treatment,2026-01-24
CMP-003,R-0275,control,2026-06-08
CMP-003,R-0276,control,2026-01-04
CMP-003,R-0278,treatment,2025-12-17
CMP-003,R-0279,treatment,2025-12-31
CMP-001,R-0281,targeted,2025-07-23
CMP-003,R-0284,control,2026-06-05
CMP-003,R-0285,treatment,2026-04-20
CMP-003,R-0288,control,2025-12-06
CMP-003,R-0289,control,2026-02-12
CMP-003,R-0291,control,2025-10-15
CMP-003,R-0292,treatment,2026-05-03
CMP-003,R-0293,control,2026-06-09
CMP-003,R-0295,treatment,2025-12-13
CMP-003,R-0296,control,2025-11-01
CMP-003,R-0298,treatment,2025-11-25
CMP-003,R-0299,treatment,2025-11-22
CMP-003,R-0301,control,2025-12-25
CMP-003,R-0302,control,2026-04-14
CMP-003,R-0303,treatment,2025-10-27
CMP-003,R-0304,control,2026-02-09
CMP-003,R-0306,control,2026-04-08
CMP-003,R-0308,treatment,2026-02-01
CMP-003,R-0310,control,2026-03-15
CMP-003,R-0311,control,2025-12-23
CMP-003,R-0312,treatment,2026-01-01
CMP-003,R-0314,control,2026-01-05
CMP-003,R-0315,treatment,2026-02-05
CMP-003,R-0316,treatment,2026-03-12
CMP-003,R-0321,treatment,2026-01-02
CMP-001,R-0323,targeted,2025-07-29
CMP-003,R-0327,treatment,2026-05-28
CMP-003,R-0328,control,2025-11-17
CMP-001,R-0329,targeted,2025-08-11
CMP-003,R-0338,treatment,2026-02-10
CMP-003,R-0340,treatment,2025-10-31
CMP-001,R-0341,targeted,2025-07-08
CMP-003,R-0343,control,2026-05-27
CMP-003,R-0346,treatment,2026-04-23
CMP-003,R-0347,control,2025-12-20
CMP-003,R-0352,treatment,2025-10-29
CMP-001,R-0353,targeted,2025-08-04
CMP-003,R-0354,treatment,2026-01-27
CMP-003,R-0360,control,2026-05-23
CMP-003,R-0365,treatment,2026-06-03
CMP-003,R-0368,control,2026-02-12
CMP-003,R-0371,control,2025-12-12
CMP-003,R-0372,control,2025-12-04
CMP-001,R-0374,targeted,2025-08-01
CMP-001,R-0377,targeted,2025-07-03
CMP-003,R-0378,treatment,2026-06-05
CMP-003,R-0381,treatment,2025-10-29
CMP-001,R-0382,targeted,2025-09-27
CMP-003,R-0384,control,2025-12-25
CMP-001,R-0386,targeted,2025-09-28
CMP-003,R-0387,control,2026-06-29
CMP-003,R-0389,treatment,2025-10-24
CMP-003,R-0391,control,2026-04-05
CMP-003,R-0392,control,2025-11-26
CMP-003,R-0394,treatment,2025-11-16
CMP-003,R-0395,control,2026-03-10
CMP-003,R-0396,control,2026-01-19
CMP-003,R-0397,control,2026-01-01
CMP-003,R-0398,control,2025-11-04
CMP-003,R-0399,treatment,2026-04-26
CMP-003,R-0400,treatment,2026-04-16
CMP-003,R-0402,treatment,2026-06-08
CMP-003,R-0403,treatment,2026-05-30
CMP-003,R-0407,control,2025-11-21
CMP-003,R-0408,treatment,2026-04-30
CMP-003,R-0410,treatment,2025-11-09
CMP-003,R-0411,control,2025-10-09
CMP-003,R-0412,control,2025-10-31
CMP-001,R-0413,targeted,2025-09-15
CMP-003,R-0416,control,2025-11-26
CMP-001,R-0418,targeted,2025-08-17
CMP-003,R-0419,treatment,2025-12-22
CMP-003,R-0421,control,2025-11-24
CMP-003,R-0422,control,2026-03-11
CMP-001,R-0423,targeted,2025-07-20
CMP-003,R-0425,treatment,2026-01-07
CMP-003,R-0428,treatment,2026-03-31
CMP-003,R-0430,control,2026-04-17
CMP-003,R-0431,treatment,2026-02-11
CMP-003,R-0432,control,2026-05-18
CMP-003,R-0433,treatment,2026-05-04
CMP-003,R-0435,treatment,2026-02-10
CMP-003,R-0437,control,2026-02-04
CMP-003,R-0438,treatment,2026-05-21
CMP-003,R-0439,control,2025-12-24
CMP-003,R-0440,control,2026-03-18
CMP-003,R-0442,treatment,2026-04-10
CMP-003,R-0443,treatment,2026-06-17
CMP-003,R-0444,control,2025-12-23
CMP-001,R-0445,targeted,2025-07-22
CMP-003,R-0448,control,2026-02-09
CMP-003,R-0449,treatment,2026-01-28
CMP-001,R-0453,targeted,2025-09-12
CMP-001,R-0455,targeted,2025-09-27
CMP-003,R-0457,treatment,2025-11-17
CMP-003,R-0458,treatment,2026-06-08
CMP-003,R-0459,treatment,2026-05-30
CMP-003,R-0461,control,2026-04-07
CMP-003,R-0462,control,2025-12-23
CMP-003,R-0463,treatment,2025-12-11
CMP-003,R-0465,treatment,2026-02-21
CMP-003,R-0467,control,2025-10-26
CMP-003,R-0469,control,2025-10-31
CMP-003,R-0470,treatment,2025-10-05
CMP-003,R-0471,treatment,2026-05-16
CMP-003,R-0473,treatment,2026-02-04
CMP-003,R-0476,control,2025-12-15
CMP-003,R-0477,treatment,2026-01-04
CMP-003,R-0478,control,2026-05-09
CMP-003,R-0479,control,2026-06-20
CMP-003,R-0480,control,2026-06-17
CMP-003,R-0481,control,2026-04-08
CMP-003,R-0482,control,2025-12-07
CMP-003,R-0483,control,2025-10-20
CMP-003,R-0484,treatment,2026-01-05
CMP-003,R-0486,treatment,2025-12-03
CMP-001,R-0488,targeted,2025-08-21
CMP-003,R-0489,control,2026-02-03
CMP-003,R-0490,control,2025-11-16
CMP-003,R-0492,control,2026-02-05
CMP-003,R-0493,control,2026-04-04
CMP-003,R-0497,control,2025-10-30
CMP-003,R-0498,treatment,2026-06-03
CMP-003,R-0499,treatment,2026-04-29
CMP-001,R-0502,targeted,2025-07-24
CMP-003,R-0503,treatment,2026-04-12
CMP-003,R-0504,control,2026-05-09
CMP-003,R-0505,treatment,2026-03-16
CMP-003,R-0507,treatment,2025-10-16
CMP-003,R-0508,control,2026-02-06
CMP-003,R-0509,treatment,2026-06-02
CMP-003,R-0511,control,2026-06-02
CMP-001,R-0512,targeted,2025-09-29
CMP-003,R-0514,treatment,2025-10-09
CMP-003,R-0515,control,2025-11-17
CMP-003,R-0516,control,2026-04-20
CMP-003,R-0520,control,2025-12-17
CMP-003,R-0524,control,2026-03-29
CMP-003,R-0527,control,2025-12-30
CMP-003,R-0528,control,2026-05-05
CMP-001,R-0535,targeted,2025-08-09
CMP-003,R-0539,treatment,2025-12-09
CMP-003,R-0540,treatment,2026-06-06
CMP-003,R-0541,treatment,2026-01-12
CMP-003,R-0542,control,2026-05-25
CMP-003,R-0543,control,2026-02-12
CMP-003,R-0544,treatment,2026-04-18
CMP-003,R-0546,treatment,2026-06-18
CMP-003,R-0547,control,2025-10-02
CMP-003,R-0548,control,2025-10-26
CMP-003,R-0552,control,2026-01-20
CMP-003,R-0554,control,2025-11-24
CMP-003,R-0555,treatment,2025-10-08
CMP-003,R-0556,control,2026-01-01
CMP-003,R-0557,treatment,2026-06-05
CMP-001,R-0560,targeted,2025-08-04
CMP-003,R-0561,treatment,2026-06-20
CMP-003,R-0562,treatment,2026-06-20
CMP-003,R-0564,control,2026-06-22
CMP-003,R-0565,control,2026-06-19
CMP-003,R-0566,treatment,2025-11-15
CMP-003,R-0567,treatment,2025-12-17
CMP-003,R-0569,treatment,2026-05-24
CMP-003,R-0572,treatment,2025-10-19
CMP-003,R-0573,treatment,2026-05-26
CMP-003,R-0576,control,2025-10-29
CMP-003,R-0578,treatment,2026-02-17
CMP-003,R-0581,treatment,2025-11-06
CMP-003,R-0582,control,2026-06-07
CMP-003,R-0584,control,2026-06-24
CMP-001,R-0585,targeted,2025-08-30
CMP-003,R-0587,treatment,2026-05-03
CMP-003,R-0588,control,2026-02-26
CMP-003,R-0590,treatment,2026-02-18
CMP-003,R-0592,treatment,2026-03-04
CMP-003,R-0593,control,2026-04-19
CMP-003,R-0595,control,2025-12-22
CMP-003,R-0596,control,2026-05-23
CMP-001,R-0597,targeted,2025-08-01
CMP-003,R-0598,control,2026-06-25
CMP-003,R-0600,treatment,2026-06-09
CMP-002,R-0008,targeted,2026-01-15
CMP-002,R-0036,targeted,2026-01-15
CMP-002,R-0050,targeted,2026-01-15
CMP-002,R-0072,targeted,2026-01-15
CMP-002,R-0095,targeted,2026-01-15
CMP-002,R-0107,targeted,2026-01-15
CMP-002,R-0114,targeted,2026-01-15
CMP-002,R-0145,targeted,2026-01-15
CMP-002,R-0170,targeted,2026-01-15
CMP-002,R-0179,targeted,2026-01-15
CMP-002,R-0183,targeted,2026-01-15
CMP-002,R-0187,targeted,2026-01-15
CMP-002,R-0198,targeted,2026-01-15
CMP-002,R-0208,targeted,2026-01-15
CMP-002,R-0257,targeted,2026-01-15
CMP-002,R-0272,targeted,2026-01-15
CMP-002,R-0275,targeted,2026-01-15
CMP-002,R-0282,targeted,2026-01-15
CMP-002,R-0308,targeted,2026-01-15
CMP-002,R-0330,targeted,2026-01-15
CMP-002,R-0331,targeted,2026-01-15
CMP-002,R-0339,targeted,2026-01-15
CMP-002,R-0396,targeted,2026-01-15
CMP-002,R-0408,targeted,2026-01-15
CMP-002,R-0470,targeted,2026-01-15
CMP-002,R-0497,targeted,2026-01-15
CMP-002,R-0505,targeted,2026-01-15
CMP-002,R-0523,targeted,2026-01-15
CMP-002,R-0577,targeted,2026-01-15
CMP-002,R-0593,targeted,2026-01-15
CMP-002,R-0595,targeted,2026-01-15
