restaurant_id,market,city_size,cuisine_type,is_chain,acquisition_channel,signup_date,signup_month,signup_cohort,month,plan_id,mrr_eur,is_active,orders,gmv_eur,average_order_value_eur,cancellation_rate,tickets,csat,tenure_months,previous_month_orders,rolling_3m_orders,activity_ratio,cumulative_tickets,peak_orders,peak_order_ratio,trend_3m,months_below_average,next_month_mrr,next_month_active,next_month_gmv,next_month_churn
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-06-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,9,0.0,0.0,,3.0,81.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-07-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,10,0.0,0.0,,3.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-08-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,11,0.0,0.0,,3.0,81.0,0.0,,0.0,,,,
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2025-12-01,PL-02,99.0,1,19.0,591.28,31.119999999999997,0.0,0.0,,0,,,,0.0,19.0,1.0,,0.0,99.0,1.0,1487.83,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-01-01,PL-02,99.0,1,50.0,1487.83,29.7566,0.05660377358490566,0.0,,1,19.0,19.0,2.6315789473684212,0.0,50.0,1.0,,0.0,99.0,1.0,1166.47,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-02-01,PL-02,99.0,1,35.0,1166.47,33.327714285714286,0.027777777777777776,0.0,,2,50.0,34.5,1.0144927536231885,0.0,50.0,0.7,,0.0,99.0,1.0,1250.98,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-03-01,PL-02,99.0,1,43.0,1250.98,29.092558139534884,0.06521739130434782,1.0,5.0,3,35.0,34.666666666666664,1.2403846153846154,1.0,50.0,0.86,,0.0,99.0,1.0,1091.63,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-04-01,PL-02,99.0,1,38.0,1091.63,28.7271052631579,0.05,0.0,,4,43.0,42.666666666666664,0.890625,1.0,50.0,0.76,2.245614035087719,0.0,99.0,1.0,1075.93,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-05-01,PL-02,99.0,1,42.0,1075.93,25.617380952380955,0.0,1.0,5.0,5,38.0,38.666666666666664,1.0862068965517242,2.0,50.0,0.84,1.1207729468599033,0.0,99.0,1.0,1411.19,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-06-01,PL-02,99.0,1,54.0,1411.19,26.13314814814815,0.01818181818181818,0.0,,6,42.0,41.0,1.3170731707317074,2.0,54.0,1.0,1.1826923076923077,0.0,99.0,1.0,2119.79,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-07-01,PL-02,99.0,1,70.0,2119.79,30.282714285714285,0.027777777777777776,0.0,,7,54.0,44.666666666666664,1.5671641791044777,2.0,70.0,1.0,1.046875,0.0,99.0,1.0,2063.6,0.0
R-0003,DK,Metro,Burger,1,Inbound,2025-12-12,2025-12-01,2025-12,2026-08-01,PL-02,99.0,1,70.0,2063.6,29.48,0.05405405405405406,0.0,,8,70.0,55.333333333333336,1.2650602409638554,2.0,70.0,1.0,1.4310344827586208,0.0,,,,
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-03-01,PL-01,41.65,1,8.0,205.36,25.67,0.0,1.0,2.0,0,,,,1.0,8.0,1.0,,0.0,41.65,1.0,254.67000000000002,0.0
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-04-01,PL-01,41.65,1,11.0,254.67000000000002,23.151818181818182,0.0,0.0,,1,8.0,8.0,1.375,1.0,11.0,1.0,,0.0,41.65,1.0,572.0,0.0
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-05-01,PL-01,41.65,1,21.0,572.0,27.238095238095237,0.045454545454545456,0.0,,2,11.0,9.5,2.210526315789474,1.0,21.0,1.0,,0.0,41.65,1.0,659.63,0.0
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-06-01,PL-01,41.65,1,22.0,659.63,29.98318181818182,0.043478260869565216,2.0,4.5,3,21.0,13.333333333333334,1.65,3.0,22.0,1.0,,0.0,41.65,1.0,554.78,0.0
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-07-01,PL-01,41.65,1,18.0,554.78,30.821111111111108,0.05263157894736842,0.0,,4,22.0,18.0,1.0,3.0,22.0,0.8181818181818182,2.25,0.0,41.65,1.0,815.25,0.0
R-0004,DE,Metro,Pizza,0,Inbound,2026-03-05,2026-03-01,2026-03,2026-08-01,PL-01,41.65,1,28.0,815.25,29.116071428571427,0.034482758620689655,1.0,4.0,5,18.0,20.333333333333332,1.3770491803278688,4.0,28.0,1.0,2.1403508771929824,0.0,,,,
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2025-11-01,PL-03,199.0,1,64.0,1310.35,20.47421875,0.0,1.0,4.0,0,,,,1.0,64.0,1.0,,0.0,199.0,1.0,4059.1,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2025-12-01,PL-03,199.0,1,191.0,4059.1,21.251832460732984,0.03535353535353535,0.0,,1,64.0,64.0,2.984375,1.0,191.0,1.0,,0.0,199.0,1.0,5188.69,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-01-01,PL-03,199.0,1,251.0,5188.69,20.67207171314741,0.0599250936329588,0.0,,2,191.0,127.5,1.968627450980392,1.0,251.0,1.0,,0.0,199.0,1.0,6744.14,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-02-01,PL-03,199.0,1,320.0,6744.14,21.0754375,0.050445103857566766,1.0,4.0,3,251.0,168.66666666666666,1.8972332015810278,2.0,320.0,1.0,,0.0,349.0,1.0,7878.67,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-03-01,PL-04,349.0,1,374.0,7878.67,21.06596256684492,0.04834605597964377,0.0,,4,320.0,254.0,1.4724409448818898,2.0,374.0,1.0,3.96875,0.0,349.0,1.0,7442.58,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-04-01,PL-04,349.0,1,376.0,7442.58,19.794095744680853,0.035897435897435895,0.0,,5,374.0,315.0,1.1936507936507936,2.0,376.0,1.0,2.4705882352941178,0.0,349.0,1.0,8697.16,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-05-01,PL-04,349.0,1,425.0,8697.16,20.46390588235294,0.05555555555555555,0.0,,6,376.0,356.6666666666667,1.1915887850467288,2.0,425.0,1.0,2.114624505928854,0.0,349.0,1.0,8043.13,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-06-01,PL-04,349.0,1,401.0,8043.13,20.057680798004988,0.03836930455635491,1.0,4.0,7,425.0,391.6666666666667,1.0238297872340425,3.0,425.0,0.9435294117647058,1.541994750656168,0.0,349.0,1.0,8108.1,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-07-01,PL-04,349.0,1,380.0,8108.1,21.337105263157895,0.028132992327365727,0.0,,8,401.0,400.6666666666667,0.9484193011647254,3.0,425.0,0.8941176470588236,1.271957671957672,0.0,349.0,1.0,6116.66,0.0
R-0005,UK,Metro,Kebab,1,Referral,2025-11-17,2025-11-01,2025-11,2026-08-01,PL-04,349.0,1,308.0,6116.66,19.859285714285715,0.028391167192429023,1.0,5.0,9,380.0,402.0,0.7661691542288557,4.0,425.0,0.7247058823529412,1.1271028037383177,1.0,,,,
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-03-01,PL-01,49.0,1,7.0,240.49,34.355714285714285,0.0,0.0,,0,,,,0.0,7.0,1.0,,0.0,49.0,1.0,459.40999999999997,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-04-01,PL-01,49.0,1,11.0,459.40999999999997,41.76454545454545,0.15384615384615385,0.0,,1,7.0,7.0,1.5714285714285714,0.0,11.0,1.0,,0.0,49.0,1.0,801.74,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-05-01,PL-01,49.0,1,21.0,801.74,38.17809523809524,0.0,0.0,,2,11.0,9.0,2.3333333333333335,0.0,21.0,1.0,,0.0,49.0,1.0,1090.23,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-06-01,PL-01,49.0,1,30.0,1090.23,36.341,0.0,0.0,,3,21.0,13.0,2.3076923076923075,0.0,30.0,1.0,,0.0,49.0,1.0,670.0600000000001,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-07-01,PL-01,49.0,1,17.0,670.0600000000001,39.415294117647065,0.0,0.0,,4,30.0,20.666666666666668,0.8225806451612903,0.0,30.0,0.5666666666666667,2.9523809523809526,1.0,49.0,1.0,763.8,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-08-01,PL-01,49.0,1,22.0,763.8,34.71818181818182,0.08333333333333333,0.0,,5,17.0,22.666666666666668,0.9705882352941176,0.0,30.0,0.7333333333333333,2.5185185185185186,1.0,49.0,1.0,994.46,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-09-01,PL-01,49.0,1,26.0,994.46,38.24846153846154,0.0,0.0,,6,22.0,23.0,1.1304347826086956,0.0,30.0,0.8666666666666667,1.7692307692307692,1.0,49.0,1.0,849.63,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-10-01,PL-01,49.0,1,24.0,849.63,35.40125,0.04,1.0,5.0,7,26.0,21.666666666666668,1.1076923076923075,1.0,30.0,0.8,1.0483870967741935,1.0,49.0,1.0,1463.66,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-11-01,PL-01,49.0,1,40.0,1463.66,36.5915,0.047619047619047616,1.0,2.0,8,24.0,24.0,1.6666666666666667,2.0,40.0,1.0,1.0588235294117647,0.0,49.0,1.0,1865.57,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2025-12-01,PL-01,49.0,1,53.0,1865.57,35.19943396226415,0.018518518518518517,0.0,,9,40.0,30.0,1.7666666666666666,2.0,53.0,1.0,1.3043478260869565,0.0,49.0,1.0,1585.42,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-01-01,PL-01,49.0,1,44.0,1585.42,36.032272727272726,0.08333333333333333,0.0,,10,53.0,39.0,1.1282051282051282,2.0,53.0,0.8301886792452831,1.7999999999999998,0.0,49.0,1.0,1561.68,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-02-01,PL-01,49.0,1,43.0,1561.68,36.31813953488372,0.0,0.0,,11,44.0,45.666666666666664,0.9416058394160585,2.0,53.0,0.8113207547169812,1.9027777777777777,0.0,49.0,1.0,1252.1,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-03-01,PL-01,49.0,1,37.0,1252.1,33.84054054054054,0.0975609756097561,0.0,,12,43.0,46.666666666666664,0.7928571428571429,2.0,53.0,0.6981132075471698,1.5555555555555556,1.0,49.0,1.0,1927.41,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-04-01,PL-01,49.0,1,53.0,1927.41,36.36622641509434,0.018518518518518517,1.0,4.0,13,37.0,41.333333333333336,1.282258064516129,3.0,53.0,1.0,1.0598290598290598,1.0,49.0,1.0,1489.65,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-05-01,PL-01,49.0,1,41.0,1489.65,36.332926829268295,0.06818181818181818,0.0,,14,53.0,44.333333333333336,0.924812030075188,3.0,53.0,0.7735849056603774,0.9708029197080293,1.0,49.0,1.0,1322.43,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-06-01,PL-01,49.0,1,34.0,1322.43,38.895,0.05555555555555555,0.0,,15,41.0,43.666666666666664,0.7786259541984734,3.0,53.0,0.6415094339622641,0.9357142857142857,2.0,49.0,1.0,1822.14,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-07-01,PL-01,49.0,1,53.0,1822.14,34.38,0.018518518518518517,1.0,5.0,16,34.0,42.666666666666664,1.2421875,4.0,53.0,1.0,1.032258064516129,1.0,49.0,1.0,1448.14,0.0
R-0006,DE,Metro,Indian,1,Direct sales,2025-03-13,2025-03-01,2025-03,2026-08-01,PL-01,49.0,1,37.0,1448.14,39.13891891891892,0.02631578947368421,0.0,,17,53.0,42.666666666666664,0.8671875,4.0,53.0,0.6981132075471698,0.9624060150375939,1.0,,,,
R-0007,DK,Small,Pizza,0,Referral,2026-04-03,2026-04-01,2026-04,2026-04-01,PL-02,99.0,1,16.0,474.64,29.665,0.058823529411764705,0.0,,0,,,,0.0,16.0,1.0,,0.0,99.0,1.0,556.6,0.0
R-0007,DK,Small,Pizza,0,Referral,2026-04-03,2026-04-01,2026-04,2026-05-01,PL-02,99.0,1,16.0,556.6,34.7875,0.058823529411764705,1.0,5.0,1,16.0,16.0,1.0,1.0,16.0,1.0,,0.0,0.0,0.0,0.0,1.0
R-0007,DK,Small,Pizza,0,Referral,2026-04-03,2026-04-01,2026-04,2026-06-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,2,16.0,16.0,0.0,1.0,16.0,0.0,,1.0,0.0,0.0,0.0,0.0
R-0007,DK,Small,Pizza,0,Referral,2026-04-03,2026-04-01,2026-04,2026-07-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,3,0.0,10.666666666666666,0.0,1.0,16.0,0.0,,2.0,0.0,0.0,0.0,0.0
R-0007,DK,Small,Pizza,0,Referral,2026-04-03,2026-04-01,2026-04,2026-08-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,4,0.0,5.333333333333333,0.0,1.0,16.0,0.0,0.3333333333333333,3.0,,,,
R-0008,DK,Small,Pizza,0,Partner,2026-04-18,2026-04-01,2026-04,2026-04-01,PL-02,99.0,1,7.0,212.94,30.419999999999998,0.125,0.0,,0,,,,0.0,7.0,1.0,,0.0,99.0,1.0,580.15,0.0
R-0008,DK,Small,Pizza,0,Partner,2026-04-18,2026-04-01,2026-04,2026-05-01,PL-02,99.0,1,21.0,580.15,27.626190476190477,0.0,0.0,,1,7.0,7.0,3.0,0.0,21.0,1.0,,0.0,99.0,1.0,626.55,0.0
R-0008,DK,Small,Pizza,0,Partner,2026-04-18,2026-04-01,2026-04,2026-06-01,PL-02,99.0,1,23.0,626.55,27.241304347826084,0.041666666666666664,1.0,3.0,2,21.0,14.0,1.6428571428571428,1.0,23.0,1.0,,0.0,99.0,1.0,328.04,0.0
R-0008,DK,Small,Pizza,0,Partner,2026-04-18,2026-04-01,2026-04,2026-07-01,PL-02,99.0,1,14.0,328.04,23.431428571428572,0.06666666666666667,0.0,,3,23.0,17.0,0.8235294117647058,1.0,23.0,0.6086956521739131,,1.0,0.0,0.0,0.0,1.0
R-0008,DK,Small,Pizza,0,Partner,2026-04-18,2026-04-01,2026-04,2026-08-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,4,14.0,19.333333333333332,0.0,1.0,23.0,0.0,2.761904761904762,2.0,,,,
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2025-09-01,PL-04,279.2,1,23.0,688.65,29.941304347826087,0.041666666666666664,3.0,3.3333333333333335,0,,,,3.0,23.0,1.0,,0.0,279.2,1.0,2312.93,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2025-10-01,PL-04,279.2,1,81.0,2312.93,28.55469135802469,0.03571428571428571,0.0,,1,23.0,23.0,3.5217391304347827,3.0,81.0,1.0,,0.0,279.2,1.0,3331.72,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2025-11-01,PL-04,279.2,1,117.0,3331.72,28.476239316239315,0.03305785123966942,2.0,3.5,2,81.0,52.0,2.25,5.0,117.0,1.0,,0.0,279.2,1.0,3750.22,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2025-12-01,PL-04,279.2,1,136.0,3750.22,27.57514705882353,0.03546099290780142,0.0,,3,117.0,73.66666666666667,1.846153846153846,5.0,136.0,1.0,,0.0,279.2,1.0,3148.52,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-01-01,PL-04,279.2,1,112.0,3148.52,28.111785714285713,0.08196721311475409,0.0,,4,136.0,111.33333333333333,1.0059880239520957,5.0,136.0,0.8235294117647058,4.840579710144928,0.0,279.2,1.0,3313.32,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-02-01,PL-04,279.2,1,108.0,3313.32,30.678888888888892,0.02702702702702703,1.0,4.0,5,112.0,121.66666666666667,0.8876712328767123,6.0,136.0,0.7941176470588235,2.33974358974359,0.0,279.2,1.0,2681.0299999999997,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-03-01,PL-04,279.2,1,96.0,2681.0299999999997,27.927395833333332,0.04,0.0,,6,108.0,118.66666666666667,0.8089887640449438,6.0,136.0,0.7058823529411765,1.6108597285067874,1.0,279.2,1.0,4211.17,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-04-01,PL-04,279.2,1,152.0,4211.17,27.705065789473686,0.03184713375796178,1.0,3.0,7,96.0,105.33333333333333,1.4430379746835444,7.0,152.0,1.0,0.9461077844311377,1.0,279.2,1.0,3606.94,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-05-01,PL-04,279.2,1,126.0,3606.94,28.626507936507938,0.023255813953488372,4.0,3.25,8,152.0,118.66666666666667,1.0617977528089888,11.0,152.0,0.8289473684210527,0.9753424657534246,1.0,0.0,0.0,0.0,1.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-06-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,9,126.0,124.66666666666667,0.0,11.0,152.0,0.0,1.050561797752809,2.0,0.0,0.0,0.0,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-07-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,10,0.0,92.66666666666667,0.0,11.0,152.0,0.0,0.8797468354430381,2.0,0.0,0.0,0.0,0.0
R-0009,DK,Small,Pizza,0,Paid search,2025-09-18,2025-09-01,2025-09,2026-08-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,11,0.0,42.0,0.0,11.0,152.0,0.0,0.3539325842696629,3.0,,,,
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-01-01,PL-03,169.15,1,23.0,987.8000000000001,42.947826086956525,0.041666666666666664,0.0,,0,,,,0.0,23.0,1.0,,0.0,169.15,1.0,2576.8,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-02-01,PL-03,169.15,1,51.0,2576.8,50.52549019607844,0.08928571428571429,0.0,,1,23.0,23.0,2.217391304347826,0.0,51.0,1.0,,0.0,169.15,1.0,2416.2599999999998,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-03-01,PL-03,169.15,1,57.0,2416.2599999999998,42.39052631578947,0.05,0.0,,2,51.0,37.0,1.5405405405405406,0.0,57.0,1.0,,0.0,169.15,1.0,3329.0299999999997,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-04-01,PL-03,169.15,1,69.0,3329.0299999999997,48.246811594202896,0.041666666666666664,1.0,4.0,3,57.0,43.666666666666664,1.5801526717557253,1.0,69.0,1.0,,0.0,169.15,1.0,3673.21,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-05-01,PL-03,169.15,1,80.0,3673.21,45.915125,0.0,0.0,,4,69.0,59.0,1.3559322033898304,1.0,80.0,1.0,2.5652173913043477,0.0,169.15,1.0,5220.84,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-06-01,PL-03,169.15,1,103.0,5220.84,50.687766990291266,0.02830188679245283,0.0,,5,80.0,68.66666666666667,1.5,1.0,103.0,1.0,1.855855855855856,0.0,169.15,1.0,4881.8,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-07-01,PL-03,169.15,1,103.0,4881.8,47.39611650485437,0.05504587155963303,0.0,,6,103.0,84.0,1.2261904761904763,1.0,103.0,1.0,1.9236641221374047,0.0,169.15,1.0,5139.33,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-08-01,PL-03,169.15,1,105.0,5139.33,48.946,0.027777777777777776,0.0,,7,103.0,95.33333333333333,1.1013986013986015,1.0,105.0,1.0,1.615819209039548,0.0,296.65,1.0,6415.75,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-09-01,PL-04,296.65,1,140.0,6415.75,45.82678571428571,0.06666666666666667,0.0,,8,105.0,103.66666666666667,1.35048231511254,1.0,140.0,1.0,1.5097087378640777,0.0,296.65,1.0,7746.0,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-10-01,PL-04,296.65,1,161.0,7746.0,48.11180124223603,0.06395348837209303,0.0,,9,140.0,116.0,1.3879310344827587,1.0,161.0,1.0,1.380952380952381,0.0,296.65,1.0,7043.42,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-11-01,PL-04,296.65,1,146.0,7043.42,48.24260273972603,0.039473684210526314,0.0,,10,161.0,135.33333333333334,1.0788177339901477,1.0,161.0,0.906832298136646,1.4195804195804198,0.0,296.65,1.0,8240.12,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2025-12-01,PL-04,296.65,1,173.0,8240.12,47.63075144508671,0.0546448087431694,1.0,5.0,11,146.0,149.0,1.1610738255033557,2.0,173.0,1.0,1.4372990353697748,0.0,296.65,1.0,7458.92,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2026-01-01,PL-04,296.65,1,157.0,7458.92,47.50904458598726,0.05421686746987952,1.0,5.0,12,173.0,160.0,0.98125,3.0,173.0,0.9075144508670521,1.3793103448275863,0.0,296.65,1.0,7468.52,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2026-02-01,PL-04,296.65,1,159.0,7468.52,46.971823899371074,0.0755813953488372,1.0,5.0,13,157.0,158.66666666666666,1.0021008403361344,4.0,173.0,0.9190751445086706,1.1724137931034482,0.0,296.65,1.0,6587.46,0.0
R-0010,UK,Mid,Sushi,0,Direct sales,2025-01-09,2025-01-01,2025-01,2026-03-01,PL-04,296.65,1,143.0,6587.46,46.066153846153846,0.05921052631578947,2.0,3.5,14,159.0,163.0,0.8773006134969326,6.0,173.0,0.8265895953757225,1.0939597315436242,0.0,296.65,1.0,9105.03,0.0
