order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status,order_month,is_completed,net_order_value_eur
ORD-0005781,R-0010,2025-01-16,38.6,web,pickup,completed,2025-01-01,1,38.6
ORD-0152161,R-0363,2025-01-16,12.8,app,pickup,completed,2025-01-01,1,12.8
ORD-0249498,R-0586,2025-01-16,29.27,app,delivery,completed,2025-01-01,1,29.27
ORD-0230285,R-0538,2025-01-17,25.1,app,delivery,completed,2025-01-01,1,25.1
ORD-0005768,R-0010,2025-01-17,19.07,web,pickup,completed,2025-01-01,1,19.07
ORD-0230297,R-0538,2025-01-17,22.51,app,pickup,completed,2025-01-01,1,22.51
ORD-0132546,R-0324,2025-01-17,35.95,web,delivery,completed,2025-01-01,1,35.95
ORD-0152157,R-0363,2025-01-17,26.04,web,pickup,completed,2025-01-01,1,26.04
ORD-0249490,R-0586,2025-01-17,24.54,web,delivery,completed,2025-01-01,1,24.54
ORD-0048712,R-0119,2025-01-17,31.97,app,pickup,completed,2025-01-01,1,31.97
ORD-0091044,R-0207,2025-01-17,39.13,web,pickup,completed,2025-01-01,1,39.13
ORD-0244699,R-0568,2025-01-17,34.2,app,delivery,completed,2025-01-01,1,34.2
ORD-0245801,R-0570,2025-01-17,26.29,web,delivery,completed,2025-01-01,1,26.29
ORD-0048723,R-0119,2025-01-17,28.57,app,pickup,completed,2025-01-01,1,28.57
ORD-0048713,R-0119,2025-01-18,29.62,web,delivery,completed,2025-01-01,1,29.62
ORD-0025555,R-0050,2025-01-18,28.69,app,delivery,completed,2025-01-01,1,28.69
ORD-0230301,R-0538,2025-01-18,14.91,web,pickup,completed,2025-01-01,1,14.91
ORD-0132552,R-0324,2025-01-18,45.96,app,pickup,completed,2025-01-01,1,45.96
ORD-0230311,R-0538,2025-01-18,22.6,web,pickup,completed,2025-01-01,1,22.6
ORD-0025549,R-0050,2025-01-18,24.58,app,delivery,completed,2025-01-01,1,24.58
ORD-0091046,R-0207,2025-01-18,56.34,app,delivery,completed,2025-01-01,1,56.34
ORD-0244691,R-0568,2025-01-18,51.26,app,delivery,completed,2025-01-01,1,51.26
ORD-0244694,R-0568,2025-01-19,54.0,app,delivery,completed,2025-01-01,1,54.0
ORD-0005777,R-0010,2025-01-19,27.79,web,pickup,completed,2025-01-01,1,27.79
ORD-0152163,R-0363,2025-01-19,29.51,app,pickup,completed,2025-01-01,1,29.51
ORD-0249494,R-0586,2025-01-19,33.96,app,delivery,completed,2025-01-01,1,33.96
ORD-0005778,R-0010,2025-01-19,22.22,web,pickup,completed,2025-01-01,1,22.22
ORD-0249492,R-0586,2025-01-19,20.69,app,pickup,completed,2025-01-01,1,20.69
ORD-0132544,R-0324,2025-01-19,49.22,web,delivery,completed,2025-01-01,1,49.22
ORD-0048716,R-0119,2025-01-19,28.69,app,delivery,completed,2025-01-01,1,28.69
ORD-0230304,R-0538,2025-01-19,18.43,app,pickup,completed,2025-01-01,1,18.43
ORD-0245799,R-0570,2025-01-19,19.09,app,delivery,completed,2025-01-01,1,19.09
ORD-0152149,R-0363,2025-01-19,16.91,web,pickup,completed,2025-01-01,1,16.91
ORD-0152154,R-0363,2025-01-19,16.34,web,pickup,completed,2025-01-01,1,16.34
ORD-0025551,R-0050,2025-01-19,20.35,web,delivery,completed,2025-01-01,1,20.35
ORD-0051081,R-0126,2025-01-20,11.82,web,delivery,completed,2025-01-01,1,11.82
ORD-0247747,R-0579,2025-01-20,20.94,app,delivery,completed,2025-01-01,1,20.94
ORD-0051053,R-0126,2025-01-20,25.76,web,delivery,completed,2025-01-01,1,25.76
ORD-0016038,R-0025,2025-01-20,32.0,app,delivery,completed,2025-01-01,1,32.0
ORD-0245807,R-0570,2025-01-20,38.81,app,delivery,completed,2025-01-01,1,38.81
ORD-0245803,R-0570,2025-01-20,26.4,web,delivery,completed,2025-01-01,1,26.4
ORD-0249488,R-0586,2025-01-20,28.7,app,delivery,completed,2025-01-01,1,28.7
ORD-0249491,R-0586,2025-01-20,18.87,app,pickup,completed,2025-01-01,1,18.87
ORD-0051057,R-0126,2025-01-20,23.29,app,delivery,completed,2025-01-01,1,23.29
ORD-0016040,R-0025,2025-01-20,23.63,app,delivery,completed,2025-01-01,1,23.63
ORD-0048721,R-0119,2025-01-20,34.02,web,delivery,completed,2025-01-01,1,34.02
ORD-0230294,R-0538,2025-01-20,17.27,app,delivery,completed,2025-01-01,1,17.27
ORD-0051071,R-0126,2025-01-20,43.88,web,pickup,completed,2025-01-01,1,43.88
ORD-0005776,R-0010,2025-01-21,70.2,web,pickup,completed,2025-01-01,1,70.2
ORD-0244686,R-0568,2025-01-21,43.64,app,delivery,completed,2025-01-01,1,43.64
ORD-0230287,R-0538,2025-01-21,27.86,app,delivery,completed,2025-01-01,1,27.86
ORD-0005788,R-0010,2025-01-21,40.74,app,delivery,completed,2025-01-01,1,40.74
ORD-0132551,R-0324,2025-01-21,23.35,web,delivery,completed,2025-01-01,1,23.35
ORD-0048719,R-0119,2025-01-21,38.44,app,pickup,completed,2025-01-01,1,38.44
ORD-0048714,R-0119,2025-01-21,35.95,app,delivery,completed,2025-01-01,1,35.95
ORD-0245805,R-0570,2025-01-21,31.91,app,delivery,completed,2025-01-01,1,31.91
ORD-0051079,R-0126,2025-01-21,23.92,app,pickup,cancelled,2025-01-01,0,0.0
ORD-0245811,R-0570,2025-01-22,51.25,web,delivery,completed,2025-01-01,1,51.25
ORD-0192458,R-0446,2025-01-22,44.9,web,pickup,completed,2025-01-01,1,44.9
ORD-0230308,R-0538,2025-01-22,20.2,app,delivery,completed,2025-01-01,1,20.2
ORD-0152158,R-0363,2025-01-22,13.61,web,pickup,completed,2025-01-01,1,13.61
ORD-0192454,R-0446,2025-01-22,25.0,app,pickup,completed,2025-01-01,1,25.0
ORD-0245793,R-0570,2025-01-22,21.94,web,delivery,completed,2025-01-01,1,21.94
ORD-0230303,R-0538,2025-01-22,20.0,app,delivery,completed,2025-01-01,1,20.0
ORD-0016048,R-0025,2025-01-22,18.25,app,delivery,completed,2025-01-01,1,18.25
ORD-0051082,R-0126,2025-01-22,19.26,app,delivery,completed,2025-01-01,1,19.26
ORD-0051054,R-0126,2025-01-22,50.23,app,delivery,completed,2025-01-01,1,50.23
ORD-0091042,R-0207,2025-01-22,27.36,web,delivery,completed,2025-01-01,1,27.36
ORD-0048720,R-0119,2025-01-22,29.28,app,pickup,completed,2025-01-01,1,29.28
ORD-0051048,R-0126,2025-01-22,18.25,app,pickup,completed,2025-01-01,1,18.25
ORD-0051074,R-0126,2025-01-22,26.06,web,pickup,completed,2025-01-01,1,26.06
ORD-0105228,R-0236,2025-01-22,14.09,app,delivery,completed,2025-01-01,1,14.09
ORD-0048718,R-0119,2025-01-22,43.47,app,delivery,completed,2025-01-01,1,43.47
ORD-0051059,R-0126,2025-01-22,20.88,app,pickup,completed,2025-01-01,1,20.88
ORD-0051070,R-0126,2025-01-23,12.31,web,pickup,completed,2025-01-01,1,12.31
ORD-0051065,R-0126,2025-01-23,41.26,web,delivery,completed,2025-01-01,1,41.26
ORD-0249485,R-0586,2025-01-23,22.99,app,delivery,completed,2025-01-01,1,22.99
ORD-0192463,R-0446,2025-01-23,29.45,web,pickup,completed,2025-01-01,1,29.45
ORD-0230298,R-0538,2025-01-23,23.42,app,pickup,completed,2025-01-01,1,23.42
ORD-0247746,R-0579,2025-01-23,19.94,web,delivery,completed,2025-01-01,1,19.94
ORD-0192465,R-0446,2025-01-23,47.08,app,pickup,completed,2025-01-01,1,47.08
ORD-0051062,R-0126,2025-01-23,20.85,app,pickup,completed,2025-01-01,1,20.85
ORD-0249493,R-0586,2025-01-23,17.35,web,pickup,completed,2025-01-01,1,17.35
ORD-0230309,R-0538,2025-01-23,38.01,app,pickup,completed,2025-01-01,1,38.01
ORD-0230310,R-0538,2025-01-23,21.01,app,delivery,completed,2025-01-01,1,21.01
ORD-0244702,R-0568,2025-01-23,24.01,app,delivery,completed,2025-01-01,1,24.01
ORD-0245794,R-0570,2025-01-23,47.3,web,delivery,completed,2025-01-01,1,47.3
ORD-0105225,R-0236,2025-01-23,40.7,app,delivery,cancelled,2025-01-01,0,0.0
ORD-0005770,R-0010,2025-01-23,66.15,web,delivery,completed,2025-01-01,1,66.15
ORD-0249496,R-0586,2025-01-23,22.76,app,pickup,completed,2025-01-01,1,22.76
ORD-0152150,R-0363,2025-01-23,14.65,app,pickup,completed,2025-01-01,1,14.65
ORD-0192462,R-0446,2025-01-23,20.37,app,delivery,completed,2025-01-01,1,20.37
ORD-0152153,R-0363,2025-01-23,20.87,web,pickup,completed,2025-01-01,1,20.87
ORD-0242745,R-0559,2025-01-23,50.54,app,pickup,completed,2025-01-01,1,50.54
ORD-0244689,R-0568,2025-01-23,25.88,app,delivery,completed,2025-01-01,1,25.88
ORD-0005775,R-0010,2025-01-24,27.51,web,pickup,completed,2025-01-01,1,27.51
ORD-0245790,R-0570,2025-01-24,23.03,app,delivery,cancelled,2025-01-01,0,0.0
ORD-0245789,R-0570,2025-01-24,45.83,web,delivery,completed,2025-01-01,1,45.83
ORD-0249484,R-0586,2025-01-24,22.22,app,pickup,completed,2025-01-01,1,22.22
ORD-0051072,R-0126,2025-01-24,82.6,app,delivery,completed,2025-01-01,1,82.6
ORD-0051063,R-0126,2025-01-24,32.63,app,delivery,completed,2025-01-01,1,32.63
ORD-0051067,R-0126,2025-01-24,38.66,app,pickup,cancelled,2025-01-01,0,0.0
ORD-0051066,R-0126,2025-01-24,12.69,app,delivery,completed,2025-01-01,1,12.69
ORD-0051058,R-0126,2025-01-24,53.16,web,delivery,completed,2025-01-01,1,53.16
ORD-0051056,R-0126,2025-01-24,28.23,app,delivery,completed,2025-01-01,1,28.23
ORD-0051061,R-0126,2025-01-24,19.57,web,delivery,completed,2025-01-01,1,19.57
ORD-0230302,R-0538,2025-01-24,13.86,app,delivery,completed,2025-01-01,1,13.86
ORD-0051069,R-0126,2025-01-24,21.95,app,delivery,completed,2025-01-01,1,21.95
ORD-0238858,R-0550,2025-01-24,33.99,web,pickup,completed,2025-01-01,1,33.99
ORD-0245808,R-0570,2025-01-24,22.07,web,delivery,completed,2025-01-01,1,22.07
ORD-0162497,R-0379,2025-01-24,26.68,web,pickup,cancelled,2025-01-01,0,0.0
ORD-0192451,R-0446,2025-01-24,50.52,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0162494,R-0379,2025-01-24,34.64,app,delivery,completed,2025-01-01,1,34.64
ORD-0091045,R-0207,2025-01-24,63.78,app,pickup,completed,2025-01-01,1,63.78
ORD-0051075,R-0126,2025-01-25,14.89,web,pickup,completed,2025-01-01,1,14.89
ORD-0245812,R-0570,2025-01-25,18.01,web,delivery,completed,2025-01-01,1,18.01
ORD-0152155,R-0363,2025-01-25,10.26,web,delivery,completed,2025-01-01,1,10.26
ORD-0238857,R-0550,2025-01-25,27.84,app,delivery,completed,2025-01-01,1,27.84
ORD-0152159,R-0363,2025-01-25,34.9,web,delivery,completed,2025-01-01,1,34.9
ORD-0051060,R-0126,2025-01-25,25.2,web,delivery,completed,2025-01-01,1,25.2
ORD-0051064,R-0126,2025-01-25,27.05,app,pickup,completed,2025-01-01,1,27.05
ORD-0051076,R-0126,2025-01-25,16.27,app,pickup,completed,2025-01-01,1,16.27
ORD-0230299,R-0538,2025-01-25,28.43,web,pickup,completed,2025-01-01,1,28.43
ORD-0192452,R-0446,2025-01-25,32.37,app,delivery,completed,2025-01-01,1,32.37
ORD-0230295,R-0538,2025-01-25,26.65,web,delivery,completed,2025-01-01,1,26.65
ORD-0230288,R-0538,2025-01-25,38.46,app,pickup,completed,2025-01-01,1,38.46
ORD-0247744,R-0579,2025-01-25,15.77,web,delivery,completed,2025-01-01,1,15.77
ORD-0230289,R-0538,2025-01-25,25.38,app,pickup,completed,2025-01-01,1,25.38
ORD-0162498,R-0379,2025-01-25,26.52,app,delivery,completed,2025-01-01,1,26.52
ORD-0105227,R-0236,2025-01-25,36.94,web,delivery,completed,2025-01-01,1,36.94
ORD-0192460,R-0446,2025-01-25,44.24,web,delivery,completed,2025-01-01,1,44.24
ORD-0192461,R-0446,2025-01-25,44.11,app,pickup,completed,2025-01-01,1,44.11
ORD-0025552,R-0050,2025-01-25,24.87,app,delivery,completed,2025-01-01,1,24.87
ORD-0245800,R-0570,2025-01-25,17.58,app,delivery,completed,2025-01-01,1,17.58
ORD-0016047,R-0025,2025-01-25,17.22,web,pickup,completed,2025-01-01,1,17.22
ORD-0132541,R-0324,2025-01-25,22.88,web,pickup,completed,2025-01-01,1,22.88
ORD-0245788,R-0570,2025-01-25,50.99,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0091043,R-0207,2025-01-25,51.25,web,delivery,completed,2025-01-01,1,51.25
ORD-0132545,R-0324,2025-01-25,11.88,app,delivery,completed,2025-01-01,1,11.88
ORD-0245797,R-0570,2025-01-26,40.72,app,delivery,completed,2025-01-01,1,40.72
ORD-0016044,R-0025,2025-01-26,24.38,web,delivery,completed,2025-01-01,1,24.38
ORD-0245786,R-0570,2025-01-26,30.47,web,delivery,completed,2025-01-01,1,30.47
ORD-0245784,R-0570,2025-01-26,19.98,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0105226,R-0236,2025-01-26,25.14,app,delivery,completed,2025-01-01,1,25.14
ORD-0005771,R-0010,2025-01-26,22.21,web,delivery,completed,2025-01-01,1,22.21
ORD-0005769,R-0010,2025-01-26,58.7,web,pickup,completed,2025-01-01,1,58.7
ORD-0051051,R-0126,2025-01-26,27.66,app,pickup,completed,2025-01-01,1,27.66
ORD-0105229,R-0236,2025-01-26,22.43,web,pickup,completed,2025-01-01,1,22.43
ORD-0051049,R-0126,2025-01-26,57.86,web,delivery,completed,2025-01-01,1,57.86
ORD-0162492,R-0379,2025-01-26,25.63,app,delivery,completed,2025-01-01,1,25.63
ORD-0224668,R-0525,2025-01-26,30.53,web,pickup,completed,2025-01-01,1,30.53
ORD-0192448,R-0446,2025-01-26,24.4,app,delivery,completed,2025-01-01,1,24.4
ORD-0016039,R-0025,2025-01-26,28.22,web,pickup,completed,2025-01-01,1,28.22
ORD-0051080,R-0126,2025-01-26,22.02,web,delivery,completed,2025-01-01,1,22.02
ORD-0152152,R-0363,2025-01-27,13.01,web,delivery,completed,2025-01-01,1,13.01
ORD-0152156,R-0363,2025-01-27,17.74,app,pickup,completed,2025-01-01,1,17.74
ORD-0245785,R-0570,2025-01-27,25.85,web,delivery,completed,2025-01-01,1,25.85
ORD-0244688,R-0568,2025-01-27,32.52,web,delivery,completed,2025-01-01,1,32.52
ORD-0245810,R-0570,2025-01-27,25.86,web,pickup,completed,2025-01-01,1,25.86
ORD-0016043,R-0025,2025-01-27,22.1,web,delivery,completed,2025-01-01,1,22.1
ORD-0213314,R-0491,2025-01-27,31.46,web,pickup,completed,2025-01-01,1,31.46
ORD-0213313,R-0491,2025-01-27,33.7,app,pickup,completed,2025-01-01,1,33.7
ORD-0025557,R-0050,2025-01-27,13.76,app,delivery,completed,2025-01-01,1,13.76
ORD-0192453,R-0446,2025-01-27,56.98,web,delivery,completed,2025-01-01,1,56.98
ORD-0245796,R-0570,2025-01-27,33.27,web,pickup,completed,2025-01-01,1,33.27
ORD-0162496,R-0379,2025-01-27,16.81,app,delivery,completed,2025-01-01,1,16.81
ORD-0192456,R-0446,2025-01-27,48.08,web,delivery,completed,2025-01-01,1,48.08
ORD-0162493,R-0379,2025-01-27,21.59,web,delivery,completed,2025-01-01,1,21.59
ORD-0230291,R-0538,2025-01-28,26.31,web,pickup,completed,2025-01-01,1,26.31
ORD-0230292,R-0538,2025-01-28,24.09,app,delivery,completed,2025-01-01,1,24.09
ORD-0213312,R-0491,2025-01-28,20.73,app,delivery,completed,2025-01-01,1,20.73
ORD-0213307,R-0491,2025-01-28,16.71,web,pickup,completed,2025-01-01,1,16.71
ORD-0245792,R-0570,2025-01-28,36.09,web,delivery,completed,2025-01-01,1,36.09
ORD-0016046,R-0025,2025-01-28,19.39,web,delivery,completed,2025-01-01,1,19.39
ORD-0016050,R-0025,2025-01-28,11.19,app,pickup,completed,2025-01-01,1,11.19
ORD-0213316,R-0491,2025-01-28,37.0,app,pickup,completed,2025-01-01,1,37.0
ORD-0213308,R-0491,2025-01-28,23.44,app,pickup,completed,2025-01-01,1,23.44
ORD-0192459,R-0446,2025-01-28,54.85,app,delivery,completed,2025-01-01,1,54.85
ORD-0242747,R-0559,2025-01-28,26.65,web,delivery,completed,2025-01-01,1,26.65
ORD-0227477,R-0531,2025-01-28,13.77,web,delivery,completed,2025-01-01,1,13.77
ORD-0227478,R-0531,2025-01-28,30.34,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0192457,R-0446,2025-01-29,34.15,web,pickup,completed,2025-01-01,1,34.15
ORD-0192449,R-0446,2025-01-29,50.9,app,pickup,completed,2025-01-01,1,50.9
ORD-0025554,R-0050,2025-01-29,13.31,app,delivery,completed,2025-01-01,1,13.31
ORD-0192450,R-0446,2025-01-29,36.56,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0162495,R-0379,2025-01-29,17.34,app,delivery,completed,2025-01-01,1,17.34
ORD-0247745,R-0579,2025-01-29,10.54,app,delivery,completed,2025-01-01,1,10.54
ORD-0016045,R-0025,2025-01-29,19.43,web,delivery,completed,2025-01-01,1,19.43
ORD-0048717,R-0119,2025-01-29,38.41,web,delivery,completed,2025-01-01,1,38.41
ORD-0213311,R-0491,2025-01-29,16.72,app,pickup,completed,2025-01-01,1,16.72
ORD-0051077,R-0126,2025-01-29,28.54,app,delivery,completed,2025-01-01,1,28.54
ORD-0079639,R-0184,2025-01-29,9.72,web,pickup,completed,2025-01-01,1,9.72
ORD-0016037,R-0025,2025-01-29,16.13,web,pickup,completed,2025-01-01,1,16.13
ORD-0152148,R-0363,2025-01-29,26.13,web,pickup,completed,2025-01-01,1,26.13
ORD-0213318,R-0491,2025-01-29,22.43,app,pickup,completed,2025-01-01,1,22.43
ORD-0213317,R-0491,2025-01-29,21.08,app,pickup,completed,2025-01-01,1,21.08
ORD-0005772,R-0010,2025-01-29,38.75,web,pickup,completed,2025-01-01,1,38.75
ORD-0224669,R-0525,2025-01-29,55.12,web,pickup,completed,2025-01-01,1,55.12
ORD-0244687,R-0568,2025-01-30,26.59,web,delivery,completed,2025-01-01,1,26.59
ORD-0242746,R-0559,2025-01-30,15.81,app,delivery,completed,2025-01-01,1,15.81
ORD-0051055,R-0126,2025-01-30,34.89,app,pickup,completed,2025-01-01,1,34.89
ORD-0192455,R-0446,2025-01-30,31.62,app,delivery,completed,2025-01-01,1,31.62
ORD-0079642,R-0184,2025-01-30,22.3,app,pickup,completed,2025-01-01,1,22.3
ORD-0016049,R-0025,2025-01-30,18.66,web,pickup,completed,2025-01-01,1,18.66
ORD-0192466,R-0446,2025-01-30,33.98,app,delivery,completed,2025-01-01,1,33.98
ORD-0244695,R-0568,2025-01-30,35.92,web,pickup,completed,2025-01-01,1,35.92
ORD-0192468,R-0446,2025-01-30,50.44,web,delivery,completed,2025-01-01,1,50.44
ORD-0005774,R-0010,2025-01-30,38.24,web,delivery,completed,2025-01-01,1,38.24
ORD-0079638,R-0184,2025-01-30,22.25,app,pickup,completed,2025-01-01,1,22.25
ORD-0213309,R-0491,2025-01-30,21.91,app,pickup,completed,2025-01-01,1,21.91
ORD-0079640,R-0184,2025-01-30,17.96,app,delivery,completed,2025-01-01,1,17.96
ORD-0244692,R-0568,2025-01-30,47.6,app,delivery,refunded,2025-01-01,0,0.0
ORD-0005787,R-0010,2025-01-31,71.68,web,delivery,completed,2025-01-01,1,71.68
ORD-0016041,R-0025,2025-01-31,29.33,app,pickup,refunded,2025-01-01,0,0.0
ORD-0005785,R-0010,2025-01-31,19.43,web,delivery,completed,2025-01-01,1,19.43
ORD-0016042,R-0025,2025-01-31,21.3,web,pickup,completed,2025-01-01,1,21.3
ORD-0105230,R-0236,2025-01-31,30.06,web,delivery,completed,2025-01-01,1,30.06
ORD-0048711,R-0119,2025-01-31,17.75,app,delivery,completed,2025-01-01,1,17.75
ORD-0025553,R-0050,2025-01-31,38.43,app,delivery,completed,2025-01-01,1,38.43
ORD-0105224,R-0236,2025-01-31,35.14,app,delivery,completed,2025-01-01,1,35.14
ORD-0091041,R-0207,2025-01-31,62.71,app,pickup,completed,2025-01-01,1,62.71
ORD-0079643,R-0184,2025-01-31,18.77,app,pickup,completed,2025-01-01,1,18.77
ORD-0152151,R-0363,2025-01-31,24.22,web,delivery,completed,2025-01-01,1,24.22
ORD-0079641,R-0184,2025-01-31,33.55,app,pickup,completed,2025-01-01,1,33.55
ORD-0152160,R-0363,2025-01-31,25.39,app,pickup,completed,2025-01-01,1,25.39
ORD-0051078,R-0126,2025-01-31,12.37,app,delivery,completed,2025-01-01,1,12.37
ORD-0192467,R-0446,2025-01-31,57.57,app,pickup,refunded,2025-01-01,0,0.0
ORD-0213310,R-0491,2025-01-31,25.34,app,pickup,completed,2025-01-01,1,25.34
ORD-0213315,R-0491,2025-01-31,22.49,web,pickup,completed,2025-01-01,1,22.49
ORD-0230278,R-0538,2025-01-31,34.88,app,pickup,completed,2025-01-01,1,34.88
ORD-0192464,R-0446,2025-01-31,53.3,app,delivery,completed,2025-01-01,1,53.3
ORD-0230284,R-0538,2025-01-31,25.58,web,pickup,completed,2025-01-01,1,25.58
ORD-0245791,R-0570,2025-01-31,31.94,web,delivery,completed,2025-01-01,1,31.94
ORD-0230282,R-0538,2025-01-31,25.83,app,pickup,completed,2025-01-01,1,25.83
ORD-0244700,R-0568,2025-01-31,98.1,app,pickup,completed,2025-01-01,1,98.1
ORD-0244697,R-0568,2025-01-31,118.51,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0051050,R-0126,2025-01-31,46.06,web,delivery,completed,2025-01-01,1,46.06
ORD-0051052,R-0126,2025-01-31,17.62,app,delivery,completed,2025-01-01,1,17.62
ORD-0048715,R-0119,2025-01-31,25.93,web,pickup,completed,2025-01-01,1,25.93
ORD-0230300,R-0538,2025-01-31,28.98,web,delivery,completed,2025-01-01,1,28.98
ORD-0051068,R-0126,2025-01-31,33.4,web,delivery,completed,2025-01-01,1,33.4
ORD-0051073,R-0126,2025-01-31,35.37,web,delivery,completed,2025-01-01,1,35.37
ORD-0230307,R-0538,2025-01-31,19.13,web,pickup,completed,2025-01-01,1,19.13
ORD-0005830,R-0010,2025-02-01,26.41,web,pickup,completed,2025-02-01,1,26.41
ORD-0213359,R-0491,2025-02-01,28.48,web,pickup,completed,2025-02-01,1,28.48
ORD-0005834,R-0010,2025-02-01,38.39,web,delivery,completed,2025-02-01,1,38.39
ORD-0192515,R-0446,2025-02-01,20.57,app,delivery,completed,2025-02-01,1,20.57
ORD-0005839,R-0010,2025-02-01,47.52,web,delivery,completed,2025-02-01,1,47.52
ORD-0079686,R-0184,2025-02-01,16.18,app,pickup,completed,2025-02-01,1,16.18
